,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,SKS_S1,SKS_S2,IP_S1,IP_S2,IPK_TERAKHIR
1561,L,BIO,G2,SMP,PDG,BPN,21.0,21.0,2.19,2.81,IPK_M
774,P,MTK,G3,SRJN,GRD,GRD,21.0,18.0,2.67,3.11,IPK_SM
1684,P,BIO,G3,LL,LL,PNS,21.0,23.0,3.0,3.0,IPK_SM
66,L,FISIKA,G1,SMTA,LL,PDG,20.0,22.0,2.26,1.89,IPK_KM
273,L,FISIKA,G4,SMTA,PDG,PNS,18.0,19.0,3.0,3.26,IPK_SM
1053,P,MTK,G2,SMP,LL,LL,21.0,19.0,2.9,3.32,IPK_SM
999,P,MTK,G3,LL,LL,PDG,21.0,18.0,3.0,3.11,IPK_SM
1045,P,MTK,G3,SMP,LL,PDG,21.0,19.0,2.62,2.53,IPK_M
1470,P,BIO,G2,SD,PDG,GRD,21.0,21.0,2.1,1.81,IPK_M
1890,P,IF,G2,SMTA,LL,PSN,19.0,18.0,2.95,3.5,IPK_SM
388,L,FISIKA,G2,SD,BPN,PDG,20.0,20.0,2.85,2.7,IPK_M
971,P,MTK,G3,SMTA,PNS,PS,21.0,18.0,2.71,3.22,IPK_SM
1834,L,IF,G4,SRJN,PNS,PNS,19.0,18.0,2.74,2.44,IPK_SM
1144,L,MTK,G1,SRJN,LL,LL,21.0,19.0,2.95,2.68,IPK_SM
918,P,MTK,G3,SMTA,LL,PSN,21.0,18.0,3.24,2.72,IPK_SM
264,L,FISIKA,G4,SRJN,GRD,PNS,18.0,19.0,2.94,2.58,IPK_SM
1409,P,BIO,G3,SMTA,PS,GRD,21.0,21.0,2.46,2.67,IPK_SM
713,P,MTK,G3,SRJN,GRD,PNS,16.0,17.0,3.06,3.24,IPK_SM
692,P,MTK,G3,SRJN,GRD,PDG,19.0,17.0,2.81,2.95,IPK_SM
2052,L,IF,G3,SMP,PDG,PNS,20.0,20.0,3.05,3.1,IPK_SM
1619,P,BIO,G2,SMP,BPN,BPN,21.0,23.0,3.05,2.78,IPK_SM
881,P,MTK,G3,SRJN,GRD,GRD,21.0,18.0,2.1,1.83,IPK_M
873,P,MTK,G3,SMTA,PDG,PDG,21.0,18.0,2.29,2.33,IPK_SM
1568,P,BIO,G3,SRJN,GRD,PNS,21.0,21.0,2.48,2.81,IPK_M
1685,P,BIO,G5,SRJN,GRD,PNS,21.0,19.0,2.86,3.47,IPK_SM
1100,P,MTK,G4,SMTA,PDG,PDG,21.0,19.0,2.67,2.53,IPK_SM
206,P,FISIKA,G3,SD,PDG,PDG,18.0,19.0,2.44,2.84,IPK_M
975,P,MTK,G7,SRJN,PS,PS,21.0,18.0,2.71,2.67,IPK_SM
430,P,FISIKA,G2,SMTA,PDG,PDG,19.0,24.0,3.21,3.04,IPK_SM
399,P,FISIKA,G4,SRJN,GRD,GRD,20.0,22.0,3.15,3.36,IPK_SM
257,L,FISIKA,G1,SMP,BPN,PDG,18.0,19.0,2.39,3.0,IPK_M
1405,P,BIO,G2,SMP,BPN,PSN,21.0,21.0,2.5,3.1,IPK_SM
358,P,FISIKA,G3,SD,PDG,PDG,20.0,20.0,2.95,2.0,IPK_KM
682,P,MTK,G2,SMP,LL,PNS,16.0,17.0,3.18,2.99,IPK_SM
937,P,MTK,G3,SRJN,GRD,PNS,21.0,18.0,2.86,2.67,IPK_M
1550,P,BIO,G3,SD,LL,PDG,21.0,21.0,2.81,3.1,IPK_SM
1523,L,BIO,G1,SMTA,BPN,BPN,21.0,21.0,2.33,2.33,IPK_SM
1973,L,IF,G4,SRJN,PDG,GRD,19.0,20.0,2.79,2.95,IPK_SM
353,L,FISIKA,G4,SD,LL,PS,20.0,22.0,3.05,2.95,IPK_SM
719,L,MTK,G1,LL,PDG,BPN,16.0,17.0,3.01,2.79,IPK_SM
1960,P,IF,G4,SRJN,PNS,PS,19.0,20.0,2.95,2.9,IPK_SM
300,L,FISIKA,G2,SMTA,LL,LL,18.0,19.0,2.67,2.95,IPK_SM
803,P,MTK,G3,LL,LL,PDG,21.0,18.0,3.0,3.11,IPK_SM
1039,L,MTK,G3,LL,PDG,PDG,21.0,19.0,2.52,2.89,IPK_SM
1544,L,BIO,G2,LL,PS,PS,21.0,21.0,2.57,2.67,IPK_SM
262,P,FISIKA,G3,SMTA,LL,GRD,18.0,19.0,2.61,2.16,IPK_M
476,P,FISIKA,G3,SMTA,LL,PS,19.0,22.0,3.11,3.0,IPK_SM
2060,P,IF,G3,SRJN,GRD,PDG,20.0,20.0,3.3,3.1,IPK_SM
1617,L,BIO,G3,SMTA,PS,PS,21.0,23.0,3.14,3.43,IPK_SM
750,P,MTK,G2,SD,BPN,PNS,18.0,18.0,2.69,2.81,IPK_SM
1400,P,BIO,G1,SD,PDG,PDG,21.0,21.0,2.79,2.77,IPK_SM
1049,P,MTK,G4,SRJN,LL,PNS,21.0,22.0,3.1,3.18,IPK_SM
1125,L,MTK,G4,SRJN,GRD,GRD,21.0,19.0,2.81,2.63,IPK_SM
733,P,MTK,G3,SMTA,LL,PNS,21.0,18.0,2.91,3.0,IPK_SM
143,P,FISIKA,G2,SMP,BPN,LL,18.0,19.0,1.93,2.21,IPK_KM
911,P,MTK,G3,SMTA,LL,BPN,21.0,18.0,3.48,2.83,IPK_SM
460,L,FISIKA,G4,SRJN,GRD,PDG,19.0,22.0,3.26,3.36,IPK_CUM
427,L,FISIKA,G2,SD,LL,BPN,19.0,22.0,3.11,3.0,IPK_SM
1830,L,IF,G4,SD,LL,PNS,19.0,18.0,2.37,2.33,IPK_SM
1173,P,MTK,G3,SMTA,PDG,LL,21.0,19.0,3.1,2.68,IPK_SM
208,L,FISIKA,G3,SD,LL,PS,18.0,19.0,3.06,2.74,IPK_SM
