@relation data_mipa_ipk_dem
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"L","FISIKA","G3","SRJN","PDG","PNS","IPK_KM"
"L","FISIKA","G3","SMTA","LL","GRD","IPK_M"
"P","FISIKA","G3","SRJN","GRD","LL","IPK_SM"
"L","FISIKA","G1","SD","PDG","LL","IPK_M"
"P","FISIKA","G1","SD","LL","GRD","IPK_SM"
"P","FISIKA","G2","SD","LL","PDG","IPK_M"
"P","FISIKA","G2","SMTA","GRD","PNS","IPK_SM"
"L","FISIKA","G1","SMTA","LL","PDG","IPK_KM"
"P","FISIKA","G2","SMTA","LL","PNS","IPK_KM"
"P","FISIKA","G3","SRJN","GRD","GRD","IPK_SM"
"P","FISIKA","G3","SMTA","LL","LL","IPK_M"
"L","FISIKA","G2","LL","BPN","BPN","IPK_M"
"P","FISIKA","G3","SMTA","PDG","GRD","IPK_SM"
"P","FISIKA","G3","SMTA","PDG","PNS","IPK_SM"
"L","FISIKA","G4","SRJN","GRD","PSN","IPK_KM"
"P","FISIKA","G3","SMTA","LL","GRD","IPK_SM"
"L","FISIKA","G2","SRJN","PNS","LL","IPK_KM"
"L","FISIKA","G3","SMTA","PDG","PSN","IPK_KM"
"L","FISIKA","G2","SMP","LL","PDG","IPK_M"
"P","FISIKA","G2","SMTA","LL","PDG","IPK_SM"
"P","FISIKA","G1","SMTA","LL","PDG","IPK_CUM"
"P","FISIKA","G1","SD","PDG","BPN","IPK_M"
"P","FISIKA","G3","SD","LL","PNS","IPK_SM"
"P","FISIKA","G1","LL","PDG","PDG","IPK_M"
"P","FISIKA","G1","SD","PDG","PDG","IPK_KM"
"L","FISIKA","G3","SRJN","GRD","PNS","IPK_M"
"L","FISIKA","G3","SMP","PDG","GRD","IPK_KM"
"L","FISIKA","G3","SMP","LL","PSN","IPK_M"
"P","FISIKA","G2","SMTA","LL","GRD","IPK_M"
"P","FISIKA","G2","SMTA","PS","PS","IPK_SM"
"P","FISIKA","G1","LL","PDG","PDG","IPK_SM"
"L","FISIKA","G3","SMTA","GRD","PNS","IPK_M"
"L","FISIKA","G1","SMTA","BPN","BPN","IPK_SM"
"P","FISIKA","G3","SRJN","GRD","GRD","IPK_SM"
"P","FISIKA","G1","SMTA","PDG","PNS","IPK_M"
"P","FISIKA","G2","SMTA","PS","PS","IPK_SM"
"L","FISIKA","G1","SMTA","PDG","PDG","IPK_M"
"P","FISIKA","G2","SMTA","GRD","GRD","IPK_M"
"P","FISIKA","G3","SMTA","LL","LL","IPK_SM"
"P","FISIKA","G2","SMP","BPN","BPN","IPK_M"
"P","FISIKA","G3","SMP","PDG","GRD","IPK_SM"
"L","FISIKA","G2","SD","BPN","BPN","IPK_KM"
"L","FISIKA","G1","SMP","PDG","PNS","IPK_SM"
"P","FISIKA","G1","LL","PDG","PDG","IPK_M"
"P","FISIKA","G3","SRJN","GRD","GRD","IPK_M"
"P","FISIKA","G3","SRJN","GRD","PS","IPK_SM"
"L","FISIKA","G3","SMTA","BPN","PS","IPK_M"
"P","FISIKA","G1","SD","BPN","BPN","IPK_M"
"P","FISIKA","G3","SRJN","GRD","GRD","IPK_M"
"P","FISIKA","G5","SRJN","GRD","PDG","IPK_M"
"L","FISIKA","G1","SMTA","LL","BPN","IPK_KM"
"L","FISIKA","G1","SD","LL","BPN","IPK_SM"
"L","FISIKA","G1","SD","BPN","BPN","IPK_SM"
"L","FISIKA","G1","LL","BPN","BPN","IPK_M"
"P","FISIKA","G1","SMP","LL","LL","IPK_M"
"P","FISIKA","G1","SMP","BPN","BPN","IPK_M"
"L","FISIKA","G2","SD","BPN","BPN","IPK_KM"
"L","FISIKA","G1","LL","BPN","BPN","IPK_SM"
"P","FISIKA","G2","SMTA","PS","PS","IPK_SM"
"P","FISIKA","G3","SMTA","PDG","PDG","IPK_M"
"P","FISIKA","G1","SMTA","PS","BPN","IPK_CUM"
"P","FISIKA","G2","SMP","BPN","LL","IPK_KM"
"P","FISIKA","G3","LL","LL","PSN","IPK_SM"
"P","FISIKA","G3","SMP","LL","LL","IPK_M"
"L","FISIKA","G3","SRJN","LL","GRD","IPK_M"
"L","FISIKA","G4","SRJN","GRD","PS","IPK_M"
"P","FISIKA","G1","SD","LL","BPN","IPK_M"
"P","FISIKA","G2","SD","LL","PS","IPK_CUM"
"P","FISIKA","G2","LL","LL","PDG","IPK_KM"
"L","FISIKA","G4","SRJN","GRD","PNS","IPK_SM"
"P","FISIKA","G4","SMTA","LL","PDG","IPK_KM"
"L","FISIKA","G2","SMP","LL","GRD","IPK_M"
"L","FISIKA","G3","SMTA","LL","GRD","IPK_M"
"P","FISIKA","G3","SRJN","GRD","LL","IPK_KM"
"P","FISIKA","G3","SMP","LL","PS","IPK_M"
"L","FISIKA","G3","SMTA","GRD","GRD","IPK_SM"
"L","FISIKA","G2","SD","BPN","PSN","IPK_M"
"P","FISIKA","G1","SMTA","LL","PDG","IPK_SM"
"P","FISIKA","G2","SMP","PS","PS","IPK_SM"
"P","FISIKA","G2","SD","PDG","GRD","IPK_SM"
"L","FISIKA","G3","SRJN","GRD","GRD","IPK_M"
"P","FISIKA","G1","SD","PDG","PDG","IPK_M"
"P","FISIKA","G1","SMTA","LL","GRD","IPK_SM"
"P","FISIKA","G1","SMP","LL","BPN","IPK_M"
"L","FISIKA","G3","SRJN","GRD","PDG","IPK_M"
"P","FISIKA","G2","SMTA","PDG","PDG","IPK_KM"
"P","FISIKA","G1","SD","BPN","BPN","IPK_M"
