,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
0,L,FISIKA,G3,SMTA,LL,GRD,IPK_M
1,P,FISIKA,G2,SD,LL,PDG,IPK_M
2,P,FISIKA,G2,SMTA,GRD,PNS,IPK_SM
3,L,FISIKA,G1,SMTA,LL,PDG,IPK_KM
4,P,FISIKA,G1,SMP,LL,LL,IPK_M
5,P,FISIKA,G2,SRJN,PDG,PS,IPK_KM
6,P,FISIKA,G2,SMTA,LL,PNS,IPK_KM
7,P,FISIKA,G3,SRJN,GRD,GRD,IPK_SM
8,P,FISIKA,G3,SMTA,LL,ABRI,IPK_M
9,L,FISIKA,G2,LL,BPN,BPN,IPK_M
10,P,FISIKA,G1,SMP,PDG,PDG,IPK_M
11,P,FISIKA,G3,SMTA,PDG,PNS,IPK_SM
12,L,FISIKA,G4,SRJN,GRD,PSN,IPK_KM
13,P,FISIKA,G3,SMTA,LL,GRD,IPK_SM
14,P,FISIKA,G3,SD,PDG,PS,IPK_M
15,P,FISIKA,G2,SMTA,LL,ABRI,IPK_SM
16,L,FISIKA,G3,SMTA,PDG,PSN,IPK_KM
17,P,FISIKA,G2,SMTA,LL,GRD,IPK_M
18,P,FISIKA,G2,SMTA,LL,PDG,IPK_KM
19,P,FISIKA,G2,SMTA,LL,PDG,IPK_SM
20,P,FISIKA,G2,SMTA,LL,BPN,IPK_SM
21,P,FISIKA,G1,SD,PDG,BPN,IPK_M
22,P,FISIKA,G3,SD,LL,PNS,IPK_SM
23,P,FISIKA,G1,LL,PDG,PDG,IPK_M
24,L,FISIKA,G3,SRJN,GRD,PNS,IPK_M
25,L,FISIKA,G3,SMP,PDG,GRD,IPK_KM
26,L,FISIKA,G1,LL,PDG,PDG,IPK_M
27,L,FISIKA,G2,SMP,LL,PSN,IPK_M
28,L,FISIKA,G3,SMP,LL,PSN,IPK_M
29,P,FISIKA,G2,SMTA,LL,GRD,IPK_M
30,P,FISIKA,G2,SMTA,PS,PS,IPK_SM
31,P,FISIKA,G1,LL,PDG,PDG,IPK_SM
32,L,FISIKA,G3,SMTA,GRD,PNS,IPK_M
33,L,FISIKA,G1,SMTA,BPN,BPN,IPK_SM
34,P,FISIKA,G3,SRJN,GRD,GRD,IPK_SM
35,P,FISIKA,G1,SMTA,PDG,PNS,IPK_M
36,P,FISIKA,G3,SRJN,GRD,GRD,IPK_SM
37,P,FISIKA,G2,SMTA,PS,PS,IPK_SM
38,L,FISIKA,G1,SMTA,PDG,PDG,IPK_M
39,L,FISIKA,G2,SD,BPN,BPN,IPK_SM
40,P,FISIKA,G2,SMP,BPN,BPN,IPK_M
41,P,FISIKA,G3,SMP,PDG,GRD,IPK_SM
42,L,FISIKA,G2,SD,BPN,BPN,IPK_KM
43,P,FISIKA,G3,SMTA,GRD,BPN,IPK_SM
44,L,FISIKA,G1,SMP,PDG,PNS,IPK_SM
45,P,FISIKA,G3,SRJN,GRD,GRD,IPK_M
46,P,FISIKA,G3,SRJN,GRD,PS,IPK_SM
47,L,FISIKA,G3,SMTA,BPN,PS,IPK_M
48,L,FISIKA,G3,SMP,BPN,BPN,IPK_M
49,L,FISIKA,G1,LL,LL,LL,IPK_SM
50,P,FISIKA,G1,SD,BPN,BPN,IPK_M
51,L,FISIKA,G3,SMTA,LL,PNS,IPK_M
52,L,FISIKA,G3,SMTA,LL,PNS,IPK_M
53,P,FISIKA,G3,SRJN,GRD,GRD,IPK_M
54,P,FISIKA,G2,SRJN,GRD,PNS,IPK_KM
55,L,FISIKA,G1,SMTA,LL,BPN,IPK_KM
56,L,FISIKA,G3,SRJN,GRD,GRD,IPK_SM
57,L,FISIKA,G1,SD,LL,BPN,IPK_SM
58,L,FISIKA,G1,SD,BPN,BPN,IPK_SM
59,P,FISIKA,G1,SMP,LL,LL,IPK_M
60,P,FISIKA,G1,SD,LL,PDG,IPK_M
61,P,FISIKA,G1,SMP,BPN,BPN,IPK_M
62,L,FISIKA,G2,SD,BPN,BPN,IPK_KM
63,P,FISIKA,G2,SMTA,PS,PS,IPK_SM
64,P,FISIKA,G3,SMTA,PDG,PDG,IPK_M
65,P,FISIKA,G1,SMTA,PS,BPN,IPK_CUM
66,P,FISIKA,G2,SMP,BPN,LL,IPK_KM
67,P,FISIKA,G3,LL,LL,PSN,IPK_SM
68,P,FISIKA,G3,SMP,LL,LL,IPK_M
69,L,FISIKA,G3,SRJN,LL,GRD,IPK_M
70,L,FISIKA,G4,SRJN,GRD,PS,IPK_M
71,P,FISIKA,G2,LL,LL,PDG,IPK_KM
72,L,FISIKA,G3,SMTA,LL,GRD,IPK_M
73,P,FISIKA,G2,SD,LL,LL,IPK_KM
74,L,FISIKA,G4,SRJN,GRD,PNS,IPK_SM
75,L,FISIKA,G2,SMP,LL,GRD,IPK_M
