,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,SKS_S1,SKS_S2,IP_S1,IP_S2,IPK_TERAKHIR
0,L,FISIKA,G3,SRJN,PDG,PNS,SKS1_K,SKS2_B,IPS1_KM,IPS2_KM,IPK_KM
1,L,FISIKA,G3,SMTA,LL,GRD,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,IPK_M
2,P,FISIKA,G3,SRJN,GRD,LL,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
3,L,FISIKA,G1,SD,PDG,LL,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,IPK_M
4,P,FISIKA,G1,SD,LL,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
5,P,FISIKA,G2,SD,LL,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,IPK_M
6,P,FISIKA,G2,SMTA,GRD,PNS,SKS1_SB,SKS2_SB,IPS1_M,IPS2_SM,IPK_SM
7,L,FISIKA,G1,SMTA,LL,PDG,SKS1_B,SKS2_SB,IPS1_KM,IPS2_KM,IPK_KM
8,P,FISIKA,G2,SMTA,LL,PNS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,IPK_KM
9,P,FISIKA,G3,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,IPK_SM
10,P,FISIKA,G3,SMTA,LL,LL,SKS1_SB,SKS2_SB,IPS1_KM,IPS2_KM,IPK_M
11,L,FISIKA,G2,LL,BPN,BPN,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,IPK_M
12,P,FISIKA,G3,SMTA,PDG,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
13,P,FISIKA,G3,SMTA,PDG,PNS,SKS1_B,SKS2_B,IPS1_KM,IPS2_SM,IPK_SM
14,L,FISIKA,G4,SRJN,GRD,PSN,SKS1_B,SKS2_SB,IPS1_KM,IPS2_KM,IPK_KM
15,P,FISIKA,G3,SMTA,LL,GRD,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,IPK_SM
16,L,FISIKA,G2,SRJN,PNS,LL,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,IPK_KM
17,L,FISIKA,G3,SMTA,PDG,PSN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,IPK_KM
18,L,FISIKA,G2,SMP,LL,PDG,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,IPK_M
19,P,FISIKA,G2,SMTA,LL,PDG,SKS1_SB,SKS2_B,IPS1_KM,IPS2_M,IPK_SM
20,P,FISIKA,G1,SMTA,LL,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
21,P,FISIKA,G1,SD,PDG,BPN,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,IPK_M
22,P,FISIKA,G3,SD,LL,PNS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_M,IPK_SM
23,P,FISIKA,G1,LL,PDG,PDG,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,IPK_M
24,P,FISIKA,G1,SD,PDG,PDG,SKS1_B,SKS2_SB,IPS1_KM,IPS2_KM,IPK_KM
25,L,FISIKA,G3,SRJN,GRD,PNS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,IPK_M
26,L,FISIKA,G3,SMP,PDG,GRD,SKS1_B,SKS2_SB,IPS1_KM,IPS2_KM,IPK_KM
27,L,FISIKA,G3,SMP,LL,PSN,SKS1_B,SKS2_SB,IPS1_KM,IPS2_KM,IPK_M
28,P,FISIKA,G2,SMTA,LL,GRD,SKS1_SB,SKS2_C,IPS1_KM,IPS2_M,IPK_M
29,P,FISIKA,G2,SMTA,PS,PS,SKS1_SB,SKS2_C,IPS1_M,IPS2_SM,IPK_SM
30,P,FISIKA,G1,LL,PDG,PDG,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,IPK_SM
31,L,FISIKA,G3,SMTA,GRD,PNS,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,IPK_M
32,L,FISIKA,G1,SMTA,BPN,BPN,SKS1_B,SKS2_B,IPS1_M,IPS2_M,IPK_SM
33,P,FISIKA,G3,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,IPK_SM
34,P,FISIKA,G1,SMTA,PDG,PNS,SKS1_B,SKS2_K,IPS1_KM,IPS2_KM,IPK_M
35,P,FISIKA,G2,SMTA,PS,PS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,IPK_SM
36,L,FISIKA,G1,SMTA,PDG,PDG,SKS1_B,SKS2_K,IPS1_KM,IPS2_KM,IPK_M
37,P,FISIKA,G2,SMTA,GRD,GRD,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,IPK_M
38,P,FISIKA,G3,SMTA,LL,LL,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,IPK_SM
39,P,FISIKA,G2,SMP,BPN,BPN,SKS1_B,SKS2_C,IPS1_M,IPS2_KM,IPK_M
40,P,FISIKA,G3,SMP,PDG,GRD,SKS1_K,SKS2_B,IPS1_SM,IPS2_M,IPK_SM
41,L,FISIKA,G2,SD,BPN,BPN,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,IPK_KM
42,L,FISIKA,G1,SMP,PDG,PNS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,IPK_SM
43,P,FISIKA,G1,LL,PDG,PDG,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,IPK_M
44,P,FISIKA,G3,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,IPK_M
45,P,FISIKA,G3,SRJN,GRD,PS,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,IPK_SM
46,L,FISIKA,G3,SMTA,BPN,PS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,IPK_M
47,P,FISIKA,G1,SD,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,IPK_M
48,P,FISIKA,G3,SRJN,GRD,GRD,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,IPK_M
49,P,FISIKA,G5,SRJN,GRD,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,IPK_M
50,L,FISIKA,G1,SMTA,LL,BPN,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,IPK_KM
51,L,FISIKA,G1,SD,LL,BPN,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,IPK_SM
52,L,FISIKA,G1,SD,BPN,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_M,IPK_SM
53,L,FISIKA,G1,LL,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,IPK_M
54,P,FISIKA,G1,SMP,LL,LL,SKS1_B,SKS2_C,IPS1_KM,IPS2_M,IPK_M
55,P,FISIKA,G1,SMP,BPN,BPN,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,IPK_M
56,L,FISIKA,G2,SD,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,IPK_KM
57,L,FISIKA,G1,LL,BPN,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_M,IPK_SM
58,P,FISIKA,G2,SMTA,PS,PS,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,IPK_SM
59,P,FISIKA,G3,SMTA,PDG,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,IPK_M
