,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,IPK_TERAKHIR
0,L,FISIKA,G3,SMTA,LL,GRD,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,IPK_M
1,P,FISIKA,G2,SD,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_M
2,P,FISIKA,G1,SMP,LL,LL,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,IPK_M
3,P,FISIKA,G2,SRJN,PDG,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
4,P,FISIKA,G3,SMTA,LL,ABRI,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_SB,IPK_M
5,L,FISIKA,G2,LL,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_M
6,P,FISIKA,G1,SMP,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_SB,IPK_M
7,P,FISIKA,G3,SMTA,PDG,PNS,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
8,L,FISIKA,G4,SRJN,GRD,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_SB,IPK_KM
9,P,FISIKA,G3,SMTA,LL,GRD,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
10,L,FISIKA,G3,SMTA,PDG,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
11,P,FISIKA,G2,SMTA,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
12,L,FISIKA,G2,SMP,LL,PDG,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_M
13,P,FISIKA,G2,SMTA,LL,PDG,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
14,P,FISIKA,G1,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
15,P,FISIKA,G3,SD,LL,PNS,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
