,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
0,L,FISIKA,G3,SRJN,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_K,SKS2_B,LLW
1,P,FISIKA,G2,SD,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
2,P,FISIKA,G2,SMTA,GRD,PNS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,LTW
3,L,FISIKA,G1,SMTA,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_SB,LLW
4,P,FISIKA,G1,SMP,LL,LL,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,LTW
5,P,FISIKA,G2,SRJN,PDG,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
6,P,FISIKA,G2,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
7,P,FISIKA,G3,SRJN,GRD,GRD,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
8,P,FISIKA,G3,SMTA,LL,ABRI,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_SB,LLW
9,P,FISIKA,G1,SMP,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_SB,LLW
10,P,FISIKA,G3,SMTA,PDG,PNS,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LTW
11,L,FISIKA,G4,SRJN,GRD,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_SB,LLW
12,L,FISIKA,G2,SRJN,PNS,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
13,P,FISIKA,G3,SD,PDG,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
14,L,FISIKA,G3,SMTA,PDG,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
15,P,FISIKA,G2,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
16,P,FISIKA,G2,SMTA,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
17,P,FISIKA,G2,SMTA,LL,PDG,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,LLW
18,P,FISIKA,G1,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
19,P,FISIKA,G2,SMTA,LL,BPN,IPS1_KM,IPS2_SM,SKS1_SB,SKS2_B,LTW
20,P,FISIKA,G1,SD,PDG,BPN,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LTW
21,P,FISIKA,G3,SD,LL,PNS,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,LTW
22,P,FISIKA,G1,LL,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LTW
23,L,FISIKA,G3,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
24,L,FISIKA,G1,LL,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_SB,LLW
25,L,FISIKA,G2,SMP,LL,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
26,L,FISIKA,G3,SMP,LL,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_SB,LTW
27,P,FISIKA,G2,SMTA,LL,GRD,IPS1_KM,IPS2_M,SKS1_SB,SKS2_C,LTW
28,P,FISIKA,G2,SMTA,PS,PS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_C,LTW
29,P,FISIKA,G1,LL,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
30,L,FISIKA,G3,SMTA,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
31,L,FISIKA,G1,SMTA,BPN,BPN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
32,P,FISIKA,G3,SRJN,GRD,GRD,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
33,P,FISIKA,G1,SMTA,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_K,LLW
34,P,FISIKA,G3,SRJN,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
35,P,FISIKA,G2,SMTA,PS,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
36,L,FISIKA,G1,SMTA,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_K,LLW
37,P,FISIKA,G2,SMTA,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
38,P,FISIKA,G3,SMTA,LL,ABRI,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
39,P,FISIKA,G3,SMP,PDG,GRD,IPS1_SM,IPS2_M,SKS1_K,SKS2_B,LLW
40,L,FISIKA,G2,SD,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
41,P,FISIKA,G3,SMTA,GRD,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_C,LLW
42,L,FISIKA,G1,SMP,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
43,P,FISIKA,G1,LL,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
44,P,FISIKA,G3,SRJN,GRD,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
45,P,FISIKA,G3,SRJN,GRD,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
46,L,FISIKA,G3,SMTA,BPN,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
47,L,FISIKA,G3,SMP,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
48,L,FISIKA,G1,LL,LL,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_K,LLW
49,P,FISIKA,G1,SD,BPN,BPN,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
50,L,FISIKA,G3,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
51,P,FISIKA,G5,SRJN,GRD,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
52,L,FISIKA,G1,SD,LL,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
53,L,FISIKA,G1,SD,BPN,BPN,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LTW
54,P,FISIKA,G1,SMP,LL,LL,IPS1_KM,IPS2_M,SKS1_B,SKS2_C,LLW
55,P,FISIKA,G1,SD,LL,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_C,LLW
56,P,FISIKA,G1,SMP,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LTW
57,L,FISIKA,G2,SD,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
58,L,FISIKA,G1,LL,BPN,BPN,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
59,P,FISIKA,G2,SMTA,PS,PS,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LC
60,P,FISIKA,G3,SMTA,PDG,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LTW
61,P,FISIKA,G1,SMTA,PS,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LC
62,P,FISIKA,G2,SMP,BPN,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
63,P,FISIKA,G3,LL,LL,PSN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LTW
64,L,FISIKA,G3,SRJN,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
65,L,FISIKA,G4,SRJN,GRD,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
66,P,FISIKA,G1,SD,LL,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
67,P,FISIKA,G2,SD,LL,PS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,LTW
68,P,FISIKA,G2,LL,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
69,P,FISIKA,G3,SD,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
70,L,FISIKA,G3,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
71,P,FISIKA,G2,SD,LL,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
72,L,FISIKA,G2,SMP,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
73,L,FISIKA,G3,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
74,P,FISIKA,G3,SRJN,GRD,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
75,P,FISIKA,G3,SMP,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
76,L,FISIKA,G3,SMTA,GRD,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
77,L,FISIKA,G2,SD,BPN,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
78,P,FISIKA,G1,SMTA,LL,PDG,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LTW
79,P,FISIKA,G2,SMP,PS,PS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
80,P,FISIKA,G2,SD,PDG,GRD,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LTW
81,L,FISIKA,G3,SRJN,GRD,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
82,P,FISIKA,G1,SMTA,LL,GRD,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
83,P,FISIKA,G1,SMP,LL,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
