@relation data_mipa_lulus_dem
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"L","FISIKA","G3","SRJN","PDG","PNS","LLW_2"
"L","FISIKA","G3","SMTA","LL","GRD","LLW_2"
"P","FISIKA","G3","SRJN","GRD","LL","LLW_1"
"L","FISIKA","G1","SD","PDG","LL","LTW"
"P","FISIKA","G1","SD","LL","GRD","LLW_1"
"P","FISIKA","G2","SD","LL","PDG","LLW_1"
"P","FISIKA","G2","SMTA","GRD","PNS","LTW"
"L","FISIKA","G1","SMTA","LL","PDG","LLW_1"
"P","FISIKA","G2","SRJN","PDG","PS","LTW"
"P","FISIKA","G2","SMTA","LL","PNS","LLW_1"
"P","FISIKA","G3","SRJN","GRD","GRD","LLW_2"
"L","FISIKA","G2","LL","BPN","BPN","LTW"
"P","FISIKA","G1","SMP","PDG","PDG","LLW_1"
"P","FISIKA","G3","SMTA","PDG","PNS","LTW"
"P","FISIKA","G3","SMTA","LL","GRD","LLW_1"
"L","FISIKA","G2","SRJN","PNS","LL","LLW_1"
"P","FISIKA","G3","SD","PDG","PS","LTW"
"P","FISIKA","G2","SMTA","LL","LL","LLW_1"
"P","FISIKA","G2","SMTA","LL","GRD","LTW"
"L","FISIKA","G2","SMP","LL","PDG","LTW"
"P","FISIKA","G2","SMTA","LL","PDG","LLW_1"
"P","FISIKA","G1","SMTA","LL","PDG","LLW_1"
"P","FISIKA","G2","SMTA","LL","BPN","LTW"
"P","FISIKA","G1","SD","PDG","BPN","LTW"
"P","FISIKA","G1","LL","PDG","PDG","LTW"
"P","FISIKA","G1","SD","PDG","PDG","LLW_2"
"L","FISIKA","G3","SRJN","GRD","PNS","LLW_1"
"L","FISIKA","G3","SMP","PDG","GRD","LLW_1"
"L","FISIKA","G1","LL","PDG","PDG","LLW_1"
"L","FISIKA","G2","SMP","LL","PSN","LLW_1"
"L","FISIKA","G3","SMP","LL","PSN","LTW"
"P","FISIKA","G2","SMTA","LL","GRD","LTW"
"P","FISIKA","G2","SMTA","PS","PS","LTW"
"P","FISIKA","G1","LL","PDG","PDG","LLW_1"
"L","FISIKA","G3","SMTA","GRD","PNS","LLW_1"
"L","FISIKA","G1","SMTA","BPN","BPN","LLW_1"
"P","FISIKA","G3","SRJN","GRD","GRD","LTW"
"P","FISIKA","G1","SMTA","PDG","PNS","LLW_1"
"P","FISIKA","G3","SRJN","GRD","GRD","LLW_1"
"P","FISIKA","G2","SMTA","PS","PS","LLW_1"
"L","FISIKA","G1","SMTA","PDG","PDG","LLW_2"
"L","FISIKA","G2","SD","BPN","BPN","LTW"
