,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,STATUS_LULUS
0,L,FISIKA,G3,SRJN,PDG,PNS,LLW
1,P,FISIKA,G2,SD,LL,PDG,LLW
2,P,FISIKA,G2,SMTA,GRD,PNS,LTW
3,L,FISIKA,G1,SMTA,LL,PDG,LLW
4,P,FISIKA,G1,SMP,LL,LL,LTW
5,P,FISIKA,G2,SRJN,PDG,PS,LTW
6,P,FISIKA,G2,SMTA,LL,PNS,LLW
7,P,FISIKA,G3,SRJN,GRD,GRD,LLW
8,P,FISIKA,G3,SMTA,LL,ABRI,LLW
9,P,FISIKA,G1,SMP,PDG,PDG,LLW
10,P,FISIKA,G3,SMTA,PDG,PNS,LTW
11,L,FISIKA,G4,SRJN,GRD,PSN,LLW
12,L,FISIKA,G2,SRJN,PNS,LL,LLW
13,P,FISIKA,G3,SD,PDG,PS,LTW
14,L,FISIKA,G3,SMTA,PDG,PSN,LTW
15,P,FISIKA,G2,SMTA,LL,GRD,LTW
16,P,FISIKA,G2,SMTA,LL,PDG,LLW
17,P,FISIKA,G2,SMTA,LL,PDG,LLW
18,P,FISIKA,G1,SMTA,LL,PDG,LLW
19,P,FISIKA,G2,SMTA,LL,BPN,LTW
20,P,FISIKA,G1,SD,PDG,BPN,LTW
21,P,FISIKA,G3,SD,LL,PNS,LTW
22,P,FISIKA,G1,LL,PDG,PDG,LTW
23,L,FISIKA,G3,SRJN,GRD,PNS,LLW
24,L,FISIKA,G1,LL,PDG,PDG,LLW
25,L,FISIKA,G2,SMP,LL,PSN,LLW
26,L,FISIKA,G3,SMP,LL,PSN,LTW
27,P,FISIKA,G2,SMTA,LL,GRD,LTW
28,P,FISIKA,G2,SMTA,PS,PS,LTW
29,P,FISIKA,G1,LL,PDG,PDG,LLW
30,L,FISIKA,G3,SMTA,GRD,PNS,LLW
31,L,FISIKA,G1,SMTA,BPN,BPN,LLW
32,P,FISIKA,G3,SRJN,GRD,GRD,LTW
33,P,FISIKA,G1,SMTA,PDG,PNS,LLW
34,P,FISIKA,G3,SRJN,GRD,GRD,LLW
35,P,FISIKA,G2,SMTA,PS,PS,LLW
36,L,FISIKA,G1,SMTA,PDG,PDG,LLW
37,P,FISIKA,G2,SMTA,GRD,GRD,LLW
38,P,FISIKA,G3,SMTA,LL,ABRI,LLW
39,P,FISIKA,G3,SMP,PDG,GRD,LLW
40,L,FISIKA,G2,SD,BPN,BPN,LLW
41,P,FISIKA,G3,SMTA,GRD,BPN,LLW
42,L,FISIKA,G1,SMP,PDG,PNS,LTW
43,P,FISIKA,G1,LL,PDG,PDG,LLW
44,P,FISIKA,G3,SRJN,GRD,GRD,LLW
45,P,FISIKA,G3,SRJN,GRD,PS,LLW
46,L,FISIKA,G3,SMTA,BPN,PS,LLW
47,L,FISIKA,G3,SMP,BPN,BPN,LLW
48,L,FISIKA,G1,LL,LL,LL,LLW
49,P,FISIKA,G1,SD,BPN,BPN,LLW
50,L,FISIKA,G3,SMTA,LL,PNS,LLW
51,P,FISIKA,G5,SRJN,GRD,PDG,LLW
52,L,FISIKA,G1,SD,LL,BPN,LLW
53,L,FISIKA,G1,SD,BPN,BPN,LTW
54,P,FISIKA,G1,SMP,LL,LL,LLW
55,P,FISIKA,G1,SD,LL,PDG,LLW
56,P,FISIKA,G1,SMP,BPN,BPN,LTW
57,L,FISIKA,G2,SD,BPN,BPN,LLW
