,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,SKS_S1,SKS_S2,IP_S1,IP_S2,STATUS_LULUS
0,L,FISIKA,G3,SRJN,PDG,PNS,SKS1_K,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
1,L,FISIKA,G3,SMTA,LL,GRD,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,LLW_2
2,P,FISIKA,G3,SRJN,GRD,LL,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LLW_1
3,L,FISIKA,G1,SD,PDG,LL,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,LTW
4,P,FISIKA,G1,SD,LL,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LLW_1
5,P,FISIKA,G2,SD,LL,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LLW_1
6,P,FISIKA,G2,SMTA,GRD,PNS,SKS1_SB,SKS2_SB,IPS1_M,IPS2_SM,LTW
7,L,FISIKA,G1,SMTA,LL,PDG,SKS1_B,SKS2_SB,IPS1_KM,IPS2_KM,LLW_1
8,P,FISIKA,G2,SRJN,PDG,PS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LTW
9,P,FISIKA,G2,SMTA,LL,PNS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
10,P,FISIKA,G3,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,LLW_2
11,L,FISIKA,G2,LL,BPN,BPN,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LTW
12,P,FISIKA,G1,SMP,PDG,PDG,SKS1_SB,SKS2_SB,IPS1_KM,IPS2_KM,LLW_1
13,P,FISIKA,G3,SMTA,PDG,PNS,SKS1_B,SKS2_B,IPS1_KM,IPS2_SM,LTW
14,P,FISIKA,G3,SMTA,LL,GRD,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LLW_1
15,L,FISIKA,G2,SRJN,PNS,LL,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
16,P,FISIKA,G3,SD,PDG,PS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LTW
17,P,FISIKA,G2,SMTA,LL,LL,SKS1_SB,SKS2_B,IPS1_KM,IPS2_M,LLW_1
18,P,FISIKA,G2,SMTA,LL,GRD,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LTW
19,L,FISIKA,G2,SMP,LL,PDG,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LTW
20,P,FISIKA,G2,SMTA,LL,PDG,SKS1_SB,SKS2_B,IPS1_KM,IPS2_M,LLW_1
21,P,FISIKA,G1,SMTA,LL,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LLW_1
22,P,FISIKA,G2,SMTA,LL,BPN,SKS1_SB,SKS2_B,IPS1_KM,IPS2_SM,LTW
23,P,FISIKA,G1,SD,PDG,BPN,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LTW
24,P,FISIKA,G1,LL,PDG,PDG,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LTW
25,P,FISIKA,G1,SD,PDG,PDG,SKS1_B,SKS2_SB,IPS1_KM,IPS2_KM,LLW_2
26,L,FISIKA,G3,SRJN,GRD,PNS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
27,L,FISIKA,G3,SMP,PDG,GRD,SKS1_B,SKS2_SB,IPS1_KM,IPS2_KM,LLW_1
28,L,FISIKA,G1,LL,PDG,PDG,SKS1_B,SKS2_SB,IPS1_KM,IPS2_KM,LLW_1
29,L,FISIKA,G2,SMP,LL,PSN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
30,L,FISIKA,G3,SMP,LL,PSN,SKS1_B,SKS2_SB,IPS1_KM,IPS2_KM,LTW
31,P,FISIKA,G2,SMTA,LL,GRD,SKS1_SB,SKS2_C,IPS1_KM,IPS2_M,LTW
32,P,FISIKA,G2,SMTA,PS,PS,SKS1_SB,SKS2_C,IPS1_M,IPS2_SM,LTW
33,P,FISIKA,G1,LL,PDG,PDG,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
34,L,FISIKA,G3,SMTA,GRD,PNS,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,LLW_1
35,L,FISIKA,G1,SMTA,BPN,BPN,SKS1_B,SKS2_B,IPS1_M,IPS2_M,LLW_1
36,P,FISIKA,G3,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,LTW
37,P,FISIKA,G1,SMTA,PDG,PNS,SKS1_B,SKS2_K,IPS1_KM,IPS2_KM,LLW_1
38,P,FISIKA,G3,SRJN,GRD,GRD,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,LLW_1
39,P,FISIKA,G2,SMTA,PS,PS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
40,L,FISIKA,G1,SMTA,PDG,PDG,SKS1_B,SKS2_K,IPS1_KM,IPS2_KM,LLW_2
41,L,FISIKA,G2,SD,BPN,BPN,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LTW
42,P,FISIKA,G2,SMTA,GRD,GRD,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,LLW_1
43,P,FISIKA,G3,SMTA,LL,LL,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LLW_1
44,P,FISIKA,G2,SMP,BPN,BPN,SKS1_B,SKS2_C,IPS1_M,IPS2_KM,LLW_1
45,P,FISIKA,G3,SMP,PDG,GRD,SKS1_K,SKS2_B,IPS1_SM,IPS2_M,LLW_1
46,P,FISIKA,G3,SMTA,PDG,PNS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LTW
47,L,FISIKA,G2,SD,BPN,BPN,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,LLW_2
48,L,FISIKA,G1,SMP,PDG,PNS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LTW
49,P,FISIKA,G3,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LLW_1
50,P,FISIKA,G3,SRJN,GRD,PS,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,LLW_1
51,L,FISIKA,G3,SMTA,BPN,PS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
52,L,FISIKA,G3,SMP,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
53,L,FISIKA,G1,LL,LL,LL,SKS1_B,SKS2_K,IPS1_KM,IPS2_KM,LLW_2
54,P,FISIKA,G1,SD,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LLW_1
55,L,FISIKA,G3,SMTA,LL,PNS,SKS1_K,SKS2_B,IPS1_KM,IPS2_KM,LTW
56,P,FISIKA,G3,SRJN,GRD,GRD,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,LLW_1
57,P,FISIKA,G5,SRJN,GRD,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
58,L,FISIKA,G1,SMTA,LL,BPN,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LLW_1
59,L,FISIKA,G3,SRJN,GRD,GRD,SKS1_B,SKS2_C,IPS1_KM,IPS2_SM,LTW
60,P,FISIKA,G1,SMP,LL,LL,SKS1_B,SKS2_C,IPS1_KM,IPS2_M,LLW_1
61,L,FISIKA,G2,SD,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
