,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
0,L,FISIKA,G3,SRJN,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_K,SKS2_B,LLW
1,L,FISIKA,G3,SMTA,LL,GRD,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
2,P,FISIKA,G2,SD,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
3,P,FISIKA,G2,SMTA,GRD,PNS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,LTW
4,P,FISIKA,G1,SMP,LL,LL,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,LTW
5,P,FISIKA,G2,SRJN,PDG,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
6,P,FISIKA,G3,SRJN,GRD,GRD,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
7,L,FISIKA,G2,LL,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LTW
8,P,FISIKA,G1,SMP,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_SB,LLW
9,P,FISIKA,G3,SMTA,PDG,PNS,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LTW
10,L,FISIKA,G2,SRJN,PNS,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
11,L,FISIKA,G3,SMTA,PDG,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
12,P,FISIKA,G2,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
13,P,FISIKA,G2,SMTA,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
14,L,FISIKA,G2,SMP,LL,PDG,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LTW
15,P,FISIKA,G2,SMTA,LL,PDG,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,LLW
