,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,kelas
653,L,AKU,G4,SMTA,PDG,PNS,IPS1_KM,IPS2_SM,IPK_SM-LLW
661,P,AKU,G4,SRJN,LL,PNS,IPS1_SM,IPS2_SM,IPK_SM-LTW
664,L,AKU,G3,SMTA,LL,PNS,IPS1_KM,IPS2_KM,IPK_SM-LLW
665,L,AKU,G3,SRJN,GRD,PNS,IPS1_KM,IPS2_M,IPK_SM-LLW
671,P,AKU,G3,SMTA,PDG,PS,IPS1_SM,IPS2_SM,IPK_SM-LTW
672,L,AKU,G2,SMTA,LL,PS,IPS1_KM,IPS2_KM,IPK_M-LLW
679,P,AKU,G4,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,IPK_SM-LTW
682,P,AKU,G3,SMTA,LL,PNS,IPS1_CUM,IPS2_SM,IPK_SM-LC
683,P,AKU,G4,SMTA,LL,PDG,IPS1_SM,IPS2_KM,IPK_SM-LTW
685,P,AKU,G1,SMP,PDG,BPN,IPS1_KM,IPS2_M,IPK_SM-LTW
689,P,AKU,G4,SMTA,LL,GRD,IPS1_SM,IPS2_CUM,IPK_SM-LTW
690,L,AKU,G5,SRJN,LL,LL,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
692,P,AKU,G2,SMTA,LL,PDG,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
694,P,AKU,G3,SRJN,PNS,PDG,IPS1_SM,IPS2_KM,IPK_SM-LTW
695,L,AKU,G7,SD,LL,PDG,IPS1_M,IPS2_CUM,IPK_SM-LLW
696,P,AKU,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,IPK_M-LLW
697,P,AKU,G2,SD,PDG,PDG,IPS1_SM,IPS2_SM,IPK_SM-LTW
699,L,AKU,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_SM,IPK_SM-LLW
706,L,AKU,G4,SMTA,LL,PNS,IPS1_SM,IPS2_CUM,IPK_SM-LTW
708,P,AKU,G5,SMTA,LL,PS,IPS1_M,IPS2_KM,IPK_SM-LLW
709,P,AKU,G2,SMTA,LL,PDG,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
713,P,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,IPK_SM-LLW
719,L,AKU,G4,SRJN,LL,PS,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
722,L,AKU,G2,SMTA,LL,PSN,IPS1_CUM,IPS2_M,IPK_SM-LLW
723,L,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,IPK_SM-LLW
731,P,AKU,G3,SRJN,GRD,LL,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
738,P,AKU,G4,SRJN,GRD,PNS,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
739,P,AKU,G3,SMTA,LL,PS,IPS1_M,IPS2_M,IPK_SM-LLW
742,P,AKU,G2,SD,PDG,PDG,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
743,L,AKU,G3,SMTA,LL,PSN,IPS1_SM,IPS2_KM,IPK_M-LLW
745,P,AKU,G3,SRJN,PNS,GRD,IPS1_CUM,IPS2_CUM,IPK_SM-LLW
748,L,AKU,G4,SRJN,GRD,BPN,IPS1_SM,IPS2_SM,IPK_SM-LLW
750,L,AKU,G4,SRJN,PNS,PNS,IPS1_KM,IPS2_KM,IPK_KM-LLW
751,L,AKU,G7,SMTA,LL,PS,IPS1_KM,IPS2_KM,IPK_KM-LLW
753,P,AKU,G4,SRJN,GRD,GRD,IPS1_KM,IPS2_M,IPK_SM-LLW
767,P,AKU,G4,SRJN,PNS,GRD,IPS1_SM,IPS2_M,IPK_SM-LLW
768,L,AKU,G2,SRJN,PS,PDG,IPS1_M,IPS2_KM,IPK_M-LLW
772,P,AKU,G4,SMTA,PS,LL,IPS1_SM,IPS2_KM,IPK_SM-LLW
773,L,AKU,G7,SMTA,PDG,PDG,IPS1_SM,IPS2_KM,IPK_SM-LLW
774,L,AKU,G5,SRJN,LL,LL,IPS1_SM,IPS2_KM,IPK_SM-LLW
782,P,AKU,G4,SMTA,PDG,PS,IPS1_M,IPS2_M,IPK_SM-LTW
799,L,AKU,G4,SMTA,LL,PSN,IPS1_KM,IPS2_KM,IPK_SM-LLW
800,L,AKU,G6,SMTA,PS,PNS,IPS1_M,IPS2_M,IPK_SM-LTW
801,L,AKU,G6,SMTA,LL,LL,IPS1_SM,IPS2_SM,IPK_SM-LTW
803,L,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,IPK_SM-LLW
805,P,AKU,G3,SMTA,LL,GRD,IPS1_KM,IPS2_CUM,IPK_CUM-LLW
811,L,AKU,G3,SMTA,PS,LL,IPS1_SM,IPS2_CUM,IPK_CUM-LC
812,P,AKU,G3,SRJN,PDG,LL,IPS1_SM,IPS2_M,IPK_SM-LLW
815,L,AKU,G2,SMTA,LL,PS,IPS1_M,IPS2_KM,IPK_SM-LLW
817,P,AKU,G4,SMTA,PNS,PSN,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
818,L,AKU,G3,SRJN,GRD,PSN,IPS1_KM,IPS2_KM,IPK_SM-LLW
820,P,AKU,G3,SRJN,LL,PDG,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
838,P,AKU,G3,SMTA,LL,PS,IPS1_M,IPS2_SM,IPK_SM-LTW
840,L,AKU,G3,SD,LL,PNS,IPS1_SM,IPS2_M,IPK_SM-LLW
841,L,AKU,G3,SRJN,PNS,PS,IPS1_M,IPS2_KM,IPK_SM-LLW
845,P,AKU,G3,SRJN,LL,PSN,IPS1_SM,IPS2_SM,IPK_SM-LLW
849,P,AKU,G4,SRJN,PNS,PS,IPS1_SM,IPS2_SM,IPK_CUM-LC
853,P,AKU,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,IPK_SM-LLW
857,P,AKU,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,IPK_SM-LLW
860,L,AKU,G4,SMTA,PNS,GRD,IPS1_KM,IPS2_KM,IPK_SM-LLW
871,P,AKU,G3,SRJN,PNS,PDG,IPS1_SM,IPS2_KM,IPK_SM-LTW
873,P,AKU,G4,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
879,P,AKU,G3,SMTA,LL,PNS,IPS1_SM,IPS2_SM,IPK_SM-LTW
880,P,AKU,G2,SD,PDG,LL,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
882,P,AKU,G3,SMTA,GRD,LL,IPS1_M,IPS2_M,IPK_SM-LTW
883,L,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,IPK_CUM-LLW
884,P,AKU,G4,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,IPK_SM-LTW
887,P,AKU,G4,SRJN,PNS,PDG,IPS1_SM,IPS2_SM,IPK_CUM-LTW
889,L,AKU,G7,SRJN,LL,PNS,IPS1_M,IPS2_M,IPK_M-LLW
891,L,AKU,G3,SMTA,LL,PS,IPS1_KM,IPS2_M,IPK_SM-LTW
894,L,AKU,G4,SMTA,PSN,PS,IPS1_KM,IPS2_KM,IPK_SM-LLW
897,P,AKU,G4,SRJN,PDG,GRD,IPS1_SM,IPS2_SM,IPK_CUM-LTW
898,P,AKU,G3,SRJN,LL,PDG,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
901,P,AKU,G2,SRJN,LL,PDG,IPS1_CUM,IPS2_CUM,IPK_SM-LTW
905,L,AKU,G4,SMP,BPN,GRD,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
906,P,AKU,G4,SRJN,LL,GRD,IPS1_SM,IPS2_SM,IPK_SM-LTW
909,L,AKU,G2,SMP,LL,BPN,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
910,P,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,IPK_SM-LLW
913,L,AKU,G4,SRJN,PS,GRD,IPS1_SM,IPS2_SM,IPK_SM-LLW
915,P,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
918,L,AKU,G3,SRJN,PSN,PSN,IPS1_CUM,IPS2_CUM,IPK_CUM-LLW
919,P,AKU,G4,SMTA,PDG,PDG,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
920,P,AKU,G4,SRJN,PDG,PDG,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
921,P,AKU,G3,SMTA,LL,PS,IPS1_SM,IPS2_M,IPK_SM-LTW
923,P,AKU,G4,SRJN,GRD,LL,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
925,P,AKU,G2,LL,PDG,PDG,IPS1_SM,IPS2_SM,IPK_CUM-LTW
926,L,AKU,G3,SMTA,LL,PNS,IPS1_CUM,IPS2_SM,IPK_SM-LTW
927,P,AKU,G3,SMP,LL,PNS,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
930,P,AKU,G5,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,IPK_SM-LTW
932,P,AKU,G4,SMTA,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LLW
937,P,AKU,G4,SD,LL,PDG,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
938,L,AKU,G4,SMTA,PSN,PNS,IPS1_M,IPS2_SM,IPK_SM-LLW
940,L,AKU,G4,SRJN,GRD,LL,IPS1_SM,IPS2_SM,IPK_CUM-LTW
943,P,AKU,G3,SMTA,PDG,GRD,IPS1_SM,IPS2_SM,IPK_SM-LTW
950,L,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
952,P,AKU,G4,SRJN,PNS,PS,IPS1_SM,IPS2_SM,IPK_SM-LTW
953,L,AKU,G4,SRJN,LL,PSN,IPS1_SM,IPS2_SM,IPK_SM-LTW
954,P,AKU,G6,SRJN,LL,PNS,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
955,L,AKU,G4,SRJN,LL,GRD,IPS1_SM,IPS2_KM,IPK_SM-LLW
964,L,AKU,G4,SMTA,PNS,PNS,IPS1_SM,IPS2_SM,IPK_SM-LLW
966,L,AKU,G3,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,IPK_SM-LTW
967,P,AKU,G5,SRJN,PDG,PNS,IPS1_SM,IPS2_SM,IPK_SM-LTW
969,P,AKU,G4,SMTA,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LLW
970,P,AKU,G3,SMTA,PDG,LL,IPS1_SM,IPS2_SM,IPK_SM-LTW
971,P,AKU,G2,SD,LL,BPN,IPS1_CUM,IPS2_SM,IPK_KM-LLW
973,P,AKU,G4,SRJN,PDG,GRD,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
974,P,AKU,G3,SMTA,LL,PNS,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
975,P,AKU,G4,SRJN,PDG,PS,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
978,L,AKU,G6,SRJN,PNS,PNS,IPS1_SM,IPS2_SM,IPK_SM-LLW
982,P,AKU,G4,SRJN,GRD,PNS,IPS1_CUM,IPS2_CUM,IPK_CUM-LLW
983,L,AKU,G3,SMP,PDG,PDG,IPS1_SM,IPS2_SM,IPK_SM-LLW
984,L,AKU,G3,SD,LL,BPN,IPS1_SM,IPS2_M,IPK_SM-LLW
986,L,AKU,G4,SMTA,PNS,PNS,IPS1_CUM,IPS2_SM,IPK_CUM-LLW
987,L,AKU,G4,SRJN,PNS,GRD,IPS1_SM,IPS2_M,IPK_SM-LLW
991,L,AKU,G5,SRJN,PNS,GRD,IPS1_SM,IPS2_SM,IPK_SM-LLW
993,P,AKU,G3,LL,LL,PSN,IPS1_SM,IPS2_SM,IPK_SM-LLW
994,L,AKU,G2,SD,PDG,PDG,IPS1_SM,IPS2_SM,IPK_SM-LLW
996,P,AKU,G5,SRJN,LL,PNS,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
998,L,AKU,G3,SMP,LL,GRD,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1003,P,AKU,G3,SMP,PS,PS,IPS1_CUM,IPS2_CUM,IPK_CUM-LLW
1004,P,AKU,G4,SRJN,PS,GRD,IPS1_SM,IPS2_SM,IPK_CUM-LTW
1005,P,AKU,G2,SRJN,PDG,PS,IPS1_CUM,IPS2_CUM,IPK_CUM-LLW
1009,L,AKU,G6,SMTA,PDG,PS,IPS1_CUM,IPS2_SM,IPK_CUM-LLW
1010,P,AKU,G2,SMTA,LL,BPN,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1011,L,AKU,G7,SMTA,PDG,PNS,IPS1_CUM,IPS2_CUM,IPK_CUM-LLW
1013,P,AKU,G4,SMP,LL,BPN,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1017,L,AKU,G5,SRJN,GRD,PNS,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1018,L,AKU,G4,SRJN,GRD,PNS,IPS1_CUM,IPS2_SM,IPK_SM-LTW
1021,P,AKU,G3,SMTA,LL,PNS,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1022,L,AKU,G5,SMTA,LL,PNS,IPS1_SM,IPS2_SM,IPK_M-LLW
1024,P,AKU,G3,SMTA,PDG,PDG,IPS1_CUM,IPS2_CUM,IPK_SM-LTW
1026,P,AKU,G5,SRJN,PNS,GRD,IPS1_M,IPS2_M,IPK_SM-LLW
1028,L,AKU,G3,SRJN,LL,PS,IPS1_SM,IPS2_CUM,IPK_CUM-LLW
1031,P,AKU,G3,SMP,BPN,BPN,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1032,P,AKU,G4,SMTA,LL,GRD,IPS1_M,IPS2_SM,IPK_SM-LTW
1033,L,AKU,G4,SMTA,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LLW
1036,L,AKU,G3,SMP,LL,PSN,IPS1_CUM,IPS2_M,IPK_SM-LLW
1037,P,AKU,G2,SMP,LL,LL,IPS1_CUM,IPS2_CUM,IPK_CUM-LLW
1038,P,AKU,G4,SRJN,LL,PNS,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1040,L,AKU,G3,SD,LL,LL,IPS1_SM,IPS2_SM,IPK_SM-LLW
1042,L,AKU,G3,SMTA,PSN,PNS,IPS1_SM,IPS2_SM,IPK_SM-LLW
1043,L,AKU,G3,SMTA,PS,PDG,IPS1_SM,IPS2_SM,IPK_CUM-LLW
1046,P,AKU,G1,SMTA,LL,LL,IPS1_SM,IPS2_SM,IPK_SM-LLW
1047,L,AKU,G4,SMTA,PDG,GRD,IPS1_SM,IPS2_CUM,IPK_SM-LLW
1048,P,AKU,G3,SRJN,PDG,PDG,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
1049,P,AKU,G2,LL,LL,BPN,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1052,P,AKU,G3,SMTA,PDG,PDG,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
1055,P,AKU,G3,SMTA,LL,LL,IPS1_SM,IPS2_CUM,IPK_SM-LLW
1056,P,AKU,G4,SRJN,GRD,PDG,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1060,P,AKU,G1,SMP,LL,BPN,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1062,L,AKU,G3,SMP,PDG,PSN,IPS1_SM,IPS2_CUM,IPK_SM-LLW
1063,P,AKU,G3,SMTA,LL,PS,IPS1_SM,IPS2_KM,IPK_SM-LLW
1065,P,AKU,G4,SRJN,LL,PS,IPS1_CUM,IPS2_CUM,IPK_CUM-LC
1066,L,AKU,G4,SRJN,PS,PNS,IPS1_SM,IPS2_CUM,IPK_SM-LTW
1068,P,AKU,G3,SRJN,PSN,PSN,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
1071,P,AKU,G4,SMP,LL,LL,IPS1_SM,IPS2_SM,IPK_SM-LTW
1073,P,AKU,G4,SRJN,GRD,PNS,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1075,L,AKU,G4,SMTA,LL,GRD,IPS1_SM,IPS2_SM,IPK_SM-LLW
1078,L,AKU,G2,SMTA,LL,BPN,IPS1_SM,IPS2_SM,IPK_SM-LTW
1080,L,AKU,G4,SMTA,LL,PS,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1087,P,AKU,G5,SRJN,PNS,PNS,IPS1_M,IPS2_SM,IPK_SM-LLW
1090,P,AKU,G4,SMTA,LL,PSN,IPS1_CUM,IPS2_SM,IPK_SM-LTW
1093,L,AKU,G4,SMTA,PS,PSN,IPS1_SM,IPS2_M,IPK_SM-LLW
1096,P,AKU,G3,SMP,PS,PDG,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
1100,P,AKU,G3,SMP,BPN,BPN,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
1101,P,AKU,G5,SRJN,LL,GRD,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
1105,P,AKU,G6,SRJN,LL,PNS,IPS1_SM,IPS2_SM,IPK_SM-LTW
1106,P,AKU,G4,SRJN,PS,ABRI,IPS1_SM,IPS2_CUM,IPK_SM-LTW
1110,L,AKU,G4,SMTA,PSN,PSN,IPS1_SM,IPS2_SM,IPK_SM-LLW
1114,P,AKU,G2,SMP,LL,PDG,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1116,P,AKU,G4,SMTA,LL,ABRI,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
1119,P,AKU,G2,SMTA,LL,PS,IPS1_SM,IPS2_SM,IPK_KM-LTW
1125,L,AKU,G5,SRJN,GRD,ABRI,IPS1_CUM,IPS2_SM,IPK_SM-LTW
1126,P,AKU,G3,SMTA,PDG,PS,IPS1_SM,IPS2_CUM,IPK_SM-LTW
1130,P,AKU,G4,SRJN,GRD,PSN,IPS1_SM,IPS2_CUM,IPK_SM-LLW
1131,P,AKU,G2,SMP,BPN,BPN,IPS1_SM,IPS2_M,IPK_SM-LLW
1133,L,AKU,G3,SMP,PDG,PSN,IPS1_SM,IPS2_CUM,IPK_SM-LLW
1134,P,AKU,G4,SRJN,LL,GRD,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
1136,L,AKU,G4,SMTA,LL,PS,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
1140,P,AKU,G3,SMTA,LL,LL,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1143,L,AKU,G1,SD,LL,LL,IPS1_SM,IPS2_SM,IPK_CUM-LTW
1144,P,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,IPK_CUM-LTW
1145,P,AKU,G3,SMTA,LL,PS,IPS1_SM,IPS2_SM,IPK_CUM-LTW
1151,P,AKU,G3,SMTA,LL,PDG,IPS1_SM,IPS2_SM,IPK_CUM-LTW
1152,P,AKU,G5,SRJN,PDG,PS,IPS1_SM,IPS2_SM,IPK_SM-LTW
1155,L,AKU,G5,SRJN,GRD,PNS,IPS1_CUM,IPS2_CUM,IPK_CUM-LC
1157,P,AKU,G4,SMTA,PNS,PS,IPS1_SM,IPS2_SM,IPK_CUM-LTW
1158,L,AKU,G2,SMP,LL,PDG,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
1159,P,AKU,G2,LL,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LTW
