,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
0,P,AKU,G4,SMTA,LL,LL,IPK_SM
1,P,AKU,G4,SRJN,LL,PS,IPK_SM
2,P,AKU,G4,SRJN,GRD,PNS,IPK_CUM
3,P,AKU,G4,SRJN,LL,PNS,IPK_SM
4,L,AKU,G2,SMTA,LL,PS,IPK_SM
5,L,AKU,G4,SRJN,PNS,PNS,IPK_SM
6,L,AKU,G3,SMTA,LL,PNS,IPK_SM
7,L,AKU,G3,SRJN,GRD,PNS,IPK_SM
8,L,AKU,G4,SRJN,GRD,PNS,IPK_SM
9,P,AKU,G4,SRJN,PDG,PNS,IPK_M
10,P,AKU,G4,SMTA,LL,PNS,IPK_SM
11,P,AKU,G3,SMTA,PDG,PS,IPK_SM
12,L,AKU,G2,SMTA,LL,PS,IPK_M
13,L,AKU,G4,SMTA,LL,GRD,IPK_SM
14,L,AKU,G2,SMTA,PDG,PDG,IPK_SM
15,L,AKU,G3,SMP,LL,PS,IPK_KM
16,P,AKU,G2,SMTA,PDG,LL,IPK_KM
17,P,AKU,G3,SMTA,LL,PNS,IPK_SM
18,P,AKU,G4,SMTA,LL,PDG,IPK_SM
19,L,AKU,G3,SRJN,GRD,LL,IPK_SM
20,L,AKU,G5,SRJN,LL,LL,IPK_CUM
21,P,AKU,G2,SMTA,LL,PDG,IPK_CUM
22,P,AKU,G3,SRJN,PNS,PDG,IPK_SM
23,L,AKU,G7,SD,LL,PDG,IPK_SM
24,P,AKU,G3,SRJN,GRD,GRD,IPK_CUM
25,L,AKU,G4,SRJN,GRD,PNS,IPK_SM
26,L,AKU,G4,SMTA,PS,GRD,IPK_SM
27,P,AKU,G4,SMTA,PNS,PNS,IPK_SM
28,L,AKU,G4,SMTA,LL,PNS,IPK_SM
29,P,AKU,G3,SMP,PDG,PDG,IPK_CUM
30,P,AKU,G5,SMTA,LL,PS,IPK_SM
31,L,AKU,G4,SRJN,LL,PNS,IPK_SM
32,P,AKU,G3,SMTA,PNS,LL,IPK_CUM
33,P,AKU,G4,SRJN,GRD,LL,IPK_SM
34,L,AKU,G4,SRJN,LL,PS,IPK_CUM
35,L,AKU,G3,SMTA,PS,PDG,IPK_SM
36,L,AKU,G2,SMTA,LL,PSN,IPK_SM
37,L,AKU,G4,SRJN,GRD,GRD,IPK_SM
38,L,AKU,G3,SMP,LL,PSN,IPK_SM
39,P,AKU,G4,SRJN,LL,PS,IPK_SM
40,P,AKU,G6,SMTA,LL,PNS,IPK_CUM
41,P,AKU,G4,SRJN,GRD,PNS,IPK_CUM
42,P,AKU,G3,SRJN,GRD,LL,IPK_CUM
43,P,AKU,G4,SMTA,LL,PS,IPK_CUM
44,P,AKU,G2,SD,PDG,PDG,IPK_CUM
45,P,AKU,G3,SMTA,LL,PDG,IPK_CUM
46,P,AKU,G3,SRJN,PNS,GRD,IPK_SM
47,P,AKU,G4,SRJN,GRD,PNS,IPK_SM
48,L,AKU,G4,SRJN,PNS,PNS,IPK_KM
49,L,AKU,G7,SMTA,LL,PS,IPK_KM
50,P,AKU,G4,SRJN,GRD,GRD,IPK_SM
51,L,AKU,G4,SMTA,PNS,PS,IPK_KM
52,P,AKU,G3,SRJN,PSN,PNS,IPK_SM
53,L,AKU,G4,SRJN,GRD,GRD,IPK_SM
54,L,AKU,G4,SD,PDG,PDG,IPK_SM
55,P,AKU,G4,SRJN,PNS,GRD,IPK_SM
56,P,AKU,G4,SMTA,PS,LL,IPK_SM
57,L,AKU,G7,SMTA,PDG,PDG,IPK_SM
58,L,AKU,G5,SRJN,LL,LL,IPK_SM
59,L,AKU,G5,SRJN,PNS,PSN,IPK_SM
60,P,AKU,G5,SMTA,LL,PNS,IPK_CUM
61,L,AKU,G7,SRJN,PNS,LL,IPK_M
62,P,AKU,G7,SMTA,LL,PS,IPK_SM
63,P,AKU,G4,SMTA,PDG,PS,IPK_SM
64,P,AKU,G3,SRJN,GRD,GRD,IPK_SM
65,L,AKU,G3,SMTA,LL,PSN,IPK_SM
66,L,AKU,G4,SMTA,LL,PNS,IPK_SM
