,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,SKS_S1,SKS_S2,IP_S1,IP_S2,IPK_TERAKHIR
0,L,AKU,G4,SMTA,PDG,PNS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_SM,IPK_SM
1,P,AKU,G4,SMTA,LL,LL,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_SM
2,P,AKU,G4,SRJN,LL,PS,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,IPK_SM
3,L,AKU,G4,SMTA,LL,PNS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,IPK_SM
4,P,AKU,G4,SRJN,GRD,PNS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
5,P,AKU,G4,SRJN,LL,PNS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
6,L,AKU,G4,SRJN,PNS,PNS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_SM
7,L,AKU,G3,SMTA,LL,PNS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,IPK_SM
8,L,AKU,G3,SRJN,GRD,PNS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_M,IPK_SM
9,L,AKU,G4,SRJN,GRD,PNS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_SM,IPK_SM
10,L,AKU,G2,SMTA,LL,PS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,IPK_M
11,L,AKU,G4,SMTA,LL,GRD,SKS1_SB,SKS2_B,IPS1_M,IPS2_SM,IPK_SM
12,L,AKU,G2,SMTA,PDG,PDG,SKS1_SB,SKS2_SB,IPS1_M,IPS2_SM,IPK_SM
13,L,AKU,G4,SMTA,LL,PNS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_M,IPK_SM
14,P,AKU,G4,SMTA,PDG,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
15,L,AKU,G3,SMP,LL,PS,SKS1_SB,SKS2_K,IPS1_KM,IPS2_KM,IPK_KM
16,P,AKU,G2,SMTA,PDG,LL,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,IPK_KM
17,P,AKU,G3,SMTA,LL,PNS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_SM
18,P,AKU,G4,SMTA,LL,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_KM,IPK_SM
19,L,AKU,G3,SRJN,GRD,LL,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
20,P,AKU,G1,SMP,PDG,BPN,SKS1_SB,SKS2_B,IPS1_KM,IPS2_M,IPK_SM
21,P,AKU,G3,SMTA,LL,PNS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
22,P,AKU,G4,SMTA,LL,GRD,SKS1_SB,SKS2_B,IPS1_SM,IPS2_CUM,IPK_SM
23,L,AKU,G5,SRJN,LL,LL,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
24,P,AKU,G2,SMTA,LL,PDG,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
25,P,AKU,G3,SRJN,PNS,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_KM,IPK_SM
26,L,AKU,G7,SD,LL,PDG,SKS1_SB,SKS2_B,IPS1_M,IPS2_CUM,IPK_SM
27,P,AKU,G4,SMTA,LL,PNS,SKS1_SB,SKS2_C,IPS1_KM,IPS2_KM,IPK_M
