,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,IPK_TERAKHIR
0,L,AKU,G4,SMTA,PDG,PNS,IPS1_KM,IPS2_SM,SKS1_SB,SKS2_B,IPK_SM
1,P,AKU,G4,SMTA,LL,LL,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
2,P,AKU,G4,SRJN,LL,PS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
3,L,AKU,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
4,P,AKU,G4,SRJN,GRD,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
5,P,AKU,G4,SRJN,LL,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
6,L,AKU,G4,SRJN,PNS,PNS,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_SM
7,L,AKU,G3,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
8,L,AKU,G2,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_M
9,L,AKU,G2,SMTA,PDG,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
10,L,AKU,G4,SMTA,LL,PNS,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
11,L,AKU,G3,SMP,LL,PS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_K,IPK_KM
12,P,AKU,G2,SMTA,PDG,LL,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,IPK_KM
13,P,AKU,G3,SMTA,LL,PNS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
14,L,AKU,G3,SRJN,GRD,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
15,P,AKU,G1,SMP,PDG,BPN,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
16,P,AKU,G3,SMTA,LL,PNS,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
17,L,AKU,G5,SRJN,LL,LL,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
