,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
0,L,AKU,G4,SMTA,PDG,PNS,IPS1_KM,IPS2_SM,SKS1_SB,SKS2_B,LLW
1,P,AKU,G4,SMTA,LL,LL,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
2,P,AKU,G4,SRJN,LL,PS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LTW
3,P,AKU,G4,SRJN,LL,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
4,L,AKU,G2,SMTA,LL,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
5,L,AKU,G4,SRJN,PNS,PNS,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
6,L,AKU,G3,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
7,L,AKU,G3,SRJN,GRD,PNS,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,LLW
8,L,AKU,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_SM,SKS1_SB,SKS2_B,LLW
9,P,AKU,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
10,P,AKU,G3,SMTA,PDG,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
11,L,AKU,G2,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
12,L,AKU,G4,SMTA,LL,GRD,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
13,L,AKU,G2,SMTA,PDG,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,LLW
14,L,AKU,G4,SMTA,LL,PNS,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,LTW
15,P,AKU,G4,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
16,L,AKU,G3,SMP,LL,PS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_K,LLW
17,P,AKU,G2,SMTA,PDG,LL,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
18,P,AKU,G3,SMTA,LL,PNS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LC
19,P,AKU,G4,SMTA,LL,PDG,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_SB,LTW
20,L,AKU,G3,SRJN,GRD,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
21,P,AKU,G1,SMP,PDG,BPN,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,LTW
22,P,AKU,G4,SMTA,LL,GRD,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_B,LTW
23,L,AKU,G5,SRJN,LL,LL,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
24,P,AKU,G4,SRJN,GRD,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,LTW
25,P,AKU,G3,SRJN,PNS,PDG,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_SB,LTW
26,L,AKU,G7,SD,LL,PDG,IPS1_M,IPS2_CUM,SKS1_SB,SKS2_B,LLW
27,P,AKU,G2,SD,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
28,P,AKU,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
