@relation data_sosial_lulus_dem
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"P","AKU","G4","SMTA","LL","LL","LTW"
"P","AKU","G4","SRJN","LL","PS","LTW"
"L","AKU","G4","SMTA","LL","PNS","LLW_1"
"P","AKU","G4","SRJN","LL","PNS","LTW"
"L","AKU","G2","SMTA","LL","PS","LTW"
"L","AKU","G4","SRJN","PNS","PNS","LLW_1"
"L","AKU","G3","SMTA","LL","PNS","LLW_1"
"L","AKU","G4","SRJN","GRD","PNS","LLW_1"
"P","AKU","G4","SRJN","PDG","PNS","LLW_1"
"P","AKU","G3","SMTA","PDG","PS","LTW"
"L","AKU","G4","SMTA","LL","GRD","LLW_1"
"L","AKU","G2","SMTA","PDG","PDG","LLW_1"
"L","AKU","G4","SMTA","LL","PNS","LTW"
"L","AKU","G3","SMP","LL","PS","LLW_2"
"P","AKU","G2","SMTA","PDG","LL","LLW_2"
"P","AKU","G3","SMTA","LL","PNS","LC"
"P","AKU","G4","SMTA","LL","PDG","LTW"
"L","AKU","G3","SRJN","GRD","LL","LTW"
"P","AKU","G1","SMP","PDG","BPN","LTW"
"P","AKU","G4","SMTA","LL","GRD","LTW"
"P","AKU","G4","SRJN","GRD","PNS","LTW"
"P","AKU","G2","SMTA","LL","PDG","LTW"
"P","AKU","G4","SMTA","LL","PNS","LLW_2"
"P","AKU","G3","SRJN","GRD","GRD","LTW"
"L","AKU","G4","SMTA","PS","GRD","LLW_1"
"P","AKU","G4","SMTA","PNS","PNS","LC"
"P","AKU","G3","SMP","PDG","PDG","LTW"
"P","AKU","G5","SMTA","LL","PS","LLW_2"
"P","AKU","G2","SMTA","LL","PDG","LTW"
"L","AKU","G3","SRJN","PSN","PNS","LLW_2"
"L","AKU","G4","SRJN","LL","PNS","LLW_1"
"P","AKU","G3","SMTA","PNS","LL","LTW"
"P","AKU","G4","SRJN","GRD","LL","LTW"
"L","AKU","G4","SRJN","LL","PS","LTW"
"L","AKU","G2","SMTA","LL","PSN","LLW_1"
"L","AKU","G4","SRJN","GRD","GRD","LLW_1"
"L","AKU","G3","SMP","LL","PSN","LLW_2"
"L","AKU","G3","SMP","PDG","PDG","LTW"
"P","AKU","G6","SMTA","LL","PNS","LTW"
"P","AKU","G4","SRJN","GRD","PNS","LTW"
"P","AKU","G4","SMTA","LL","PS","LTW"
"P","AKU","G3","SRJN","PNS","GRD","LTW"
"P","AKU","G4","SRJN","GRD","PNS","LTW"
"P","AKU","G3","SMTA","LL","PS","LLW_2"
"P","AKU","G2","SD","PDG","PDG","LTW"
"L","AKU","G3","SMTA","LL","PSN","LLW_2"
"P","AKU","G3","SMTA","LL","PDG","LTW"
"P","AKU","G4","SRJN","GRD","PNS","LTW"
"L","AKU","G4","SRJN","GRD","BPN","LLW_2"
"L","AKU","G4","SRJN","PNS","PNS","LLW_2"
"L","AKU","G7","SMTA","LL","PS","LLW_2"
"P","AKU","G4","SRJN","GRD","GRD","LLW_1"
"L","AKU","G4","SMTA","PNS","PS","LLW_2"
"P","AKU","G3","SRJN","PSN","PNS","LLW_1"
"L","AKU","G4","SRJN","GRD","GRD","LTW"
"P","AKU","G4","SRJN","PNS","GRD","LLW_1"
"L","AKU","G2","SRJN","PS","PDG","LLW_1"
"L","AKU","G5","SRJN","PNS","PNS","LLW_1"
"P","AKU","G4","SRJN","PNS","PNS","LTW"
"P","AKU","G4","SMTA","PS","LL","LLW_1"
"L","AKU","G7","SMTA","PDG","PDG","LLW_2"
"L","AKU","G5","SRJN","LL","LL","LLW_2"
"L","AKU","G5","SRJN","PNS","PSN","LTW"
"P","AKU","G5","SMTA","LL","PNS","LTW"
"L","AKU","G7","SRJN","PNS","LL","LLW_1"
"P","AKU","G7","SMTA","LL","PS","LTW"
"P","AKU","G4","SMTA","PDG","PS","LTW"
"P","AKU","G3","SRJN","GRD","GRD","LTW"
"L","AKU","G4","SMTA","LL","PNS","LTW"
"P","AKU","G4","SMTA","LL","LL","LC"
"P","AKU","G5","SRJN","PDG","GRD","LTW"
"L","AKU","G3","SMP","PDG","PS","LLW_1"
"P","AKU","G5","SRJN","GRD","GRD","LTW"
"L","AKU","G4","SMTA","LL","PSN","LLW_1"
"L","AKU","G6","SMTA","PS","PNS","LTW"
"L","AKU","G6","SMTA","LL","LL","LTW"
"L","AKU","G4","SRJN","GRD","GRD","LLW_2"
"P","AKU","G4","SMTA","PNS","PS","LLW_1"
"L","AKU","G3","SMTA","PS","LL","LC"
"P","AKU","G3","SRJN","PDG","LL","LLW_2"
"P","AKU","G3","SMTA","GRD","LL","LLW_1"
"L","AKU","G2","SMTA","LL","PS","LLW_2"
"L","AKU","G3","SRJN","LL","PSN","LLW_1"
"P","AKU","G4","SMTA","PNS","PSN","LTW"
"L","AKU","G3","SRJN","GRD","PSN","LLW_2"
"P","AKU","G3","SRJN","LL","PSN","LLW_1"
"P","AKU","G3","SRJN","LL","PDG","LTW"
"L","AKU","G3","SD","LL","PNS","LLW_2"
"P","AKU","G4","SRJN","GRD","LL","LLW_2"
"L","AKU","G3","LL","PDG","PDG","LLW_2"
"P","AKU","G3","SMTA","PSN","PS","LLW_1"
"P","AKU","G4","SRJN","PNS","PDG","LLW_1"
"L","AKU","G3","SMTA","PS","PS","LLW_1"
"P","AKU","G2","SRJN","PS","PS","LLW_1"
"P","AKU","G5","SMTA","LL","PS","LTW"
"L","AKU","G4","SRJN","PSN","GRD","LLW_1"
"P","AKU","G3","SMTA","LL","PS","LTW"
"P","AKU","G3","SMTA","LL","PDG","LLW_1"
"L","AKU","G3","SD","LL","PNS","LLW_2"
"P","AKU","G3","SRJN","PDG","BPN","LLW_1"
"P","AKU","G3","SRJN","LL","PSN","LLW_1"
"P","AKU","G2","SD","LL","BPN","LTW"
"P","AKU","G4","SRJN","PNS","PS","LC"
"L","AKU","G4","SRJN","PSN","PSN","LTW"
"L","AKU","G7","SRJN","GRD","GRD","LLW_2"
"P","AKU","G6","SMTA","PNS","PNS","LLW_1"
"P","AKU","G4","SMTA","LL","PNS","LLW_1"
"P","AKU","G1","SMTA","LL","PSN","LLW_2"
"P","AKU","G3","SMTA","LL","PDG","LTW"
"P","AKU","G3","LL","PDG","PDG","LTW"
"P","AKU","G3","SRJN","GRD","GRD","LLW_1"
"P","AKU","G3","SMP","LL","LL","LLW_1"
"P","AKU","G4","SRJN","GRD","LL","LTW"
"L","AKU","G4","SMTA","PNS","GRD","LLW_2"
"P","AKU","G2","LL","LL","PDG","LTW"
"P","AKU","G3","SRJN","GRD","GRD","LLW_1"
"L","AKU","G4","SRJN","GRD","PS","LLW_1"
"P","AKU","G2","SMP","LL","PDG","LTW"
"P","AKU","G3","SRJN","PNS","PDG","LTW"
"L","AKU","G4","SRJN","GRD","PNS","LTW"
"P","AKU","G4","SRJN","GRD","GRD","LTW"
"P","AKU","G4","SMTA","PDG","LL","LTW"
"P","AKU","G3","SRJN","PNS","GRD","LTW"
"P","AKU","G5","SRJN","GRD","PSN","LLW_1"
"P","AKU","G4","SRJN","PNS","PDG","LTW"
"L","AKU","G7","SRJN","LL","PNS","LLW_1"
"L","AKU","G3","SMTA","LL","PS","LTW"
"L","AKU","G4","SRJN","PS","LL","LLW_1"
"L","AKU","G4","SMTA","PSN","PS","LLW_2"
"P","AKU","G4","SD","PDG","PS","LTW"
"P","AKU","G4","SRJN","PDG","GRD","LTW"
"P","AKU","G3","SRJN","LL","PDG","LTW"
"P","AKU","G4","SRJN","PS","PNS","LTW"
"P","AKU","G2","SRJN","LL","PDG","LTW"
"P","AKU","G4","SRJN","PNS","PSN","LLW_2"
"P","AKU","G3","SRJN","LL","PS","LTW"
"L","AKU","G3","SRJN","GRD","GRD","LTW"
"P","AKU","G4","SRJN","LL","GRD","LTW"
"L","AKU","G3","SRJN","GRD","BPN","LLW_1"
"L","AKU","G2","SMP","LL","BPN","LTW"
"P","AKU","G4","SRJN","GRD","GRD","LLW_2"
"P","AKU","G5","SMTA","PNS","GRD","LTW"
"L","AKU","G4","SRJN","PS","GRD","LLW_1"
"L","AKU","G4","SRJN","PS","PS","LTW"
"P","AKU","G4","SRJN","GRD","GRD","LTW"
"P","AKU","G2","SMP","BPN","BPN","LLW_1"
