,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,STATUS_LULUS
0,L,AKU,G4,SMTA,PDG,PNS,LLW
1,P,AKU,G4,SMTA,LL,LL,LTW
2,P,AKU,G4,SRJN,LL,PS,LTW
3,P,AKU,G4,SRJN,LL,PNS,LTW
4,L,AKU,G2,SMTA,LL,PS,LTW
5,L,AKU,G4,SRJN,PNS,PNS,LLW
6,L,AKU,G3,SMTA,LL,PNS,LLW
7,L,AKU,G3,SRJN,GRD,PNS,LLW
8,L,AKU,G4,SRJN,GRD,PNS,LLW
9,P,AKU,G4,SMTA,LL,PNS,LLW
10,P,AKU,G3,SMTA,PDG,PS,LTW
11,L,AKU,G2,SMTA,LL,PS,LLW
12,L,AKU,G4,SMTA,LL,GRD,LLW
13,L,AKU,G2,SMTA,PDG,PDG,LLW
14,L,AKU,G4,SMTA,LL,PNS,LTW
15,P,AKU,G4,SMTA,PDG,PDG,LTW
16,L,AKU,G3,SMP,LL,PS,LLW
17,P,AKU,G2,SMTA,PDG,LL,LLW
18,P,AKU,G3,SMTA,LL,PNS,LC
19,P,AKU,G4,SMTA,LL,PDG,LTW
20,L,AKU,G3,SRJN,GRD,LL,LTW
21,P,AKU,G1,SMP,PDG,BPN,LTW
22,P,AKU,G4,SMTA,LL,GRD,LTW
23,L,AKU,G5,SRJN,LL,LL,LTW
24,P,AKU,G4,SRJN,GRD,PNS,LTW
25,P,AKU,G3,SRJN,PNS,PDG,LTW
26,L,AKU,G7,SD,LL,PDG,LLW
27,P,AKU,G2,SD,PDG,PDG,LTW
28,P,AKU,G3,SRJN,GRD,GRD,LTW
29,L,AKU,G4,SMTA,PS,GRD,LLW
30,P,AKU,G4,SMTA,PNS,PNS,LC
31,P,AKU,G3,SMP,PDG,PDG,LTW
32,P,AKU,G5,SMTA,LL,PS,LLW
33,P,AKU,G2,SMTA,LL,PDG,LTW
34,L,AKU,G3,SRJN,PSN,PNS,LLW
35,P,AKU,G4,SRJN,GRD,GRD,LLW
36,P,AKU,G3,SMTA,PNS,LL,LTW
37,P,AKU,G4,SRJN,GRD,LL,LTW
38,L,AKU,G3,SMTA,PS,PDG,LLW
39,L,AKU,G2,SMTA,LL,PSN,LLW
40,L,AKU,G4,SRJN,GRD,GRD,LLW
41,L,AKU,G3,SMP,LL,PSN,LLW
42,P,AKU,G4,SRJN,LL,PS,LTW
43,L,AKU,G3,SMP,PDG,PDG,LTW
44,P,AKU,G6,SMTA,LL,PNS,LTW
45,P,AKU,G4,SRJN,GRD,PNS,LTW
46,P,AKU,G4,SMTA,LL,PS,LTW
47,P,AKU,G3,SRJN,PNS,GRD,LTW
48,P,AKU,G3,SMTA,LL,PNS,LTW
49,P,AKU,G3,SMTA,LL,PDG,LTW
50,P,AKU,G3,SRJN,PNS,GRD,LLW
51,P,AKU,G4,SRJN,GRD,PNS,LTW
52,L,AKU,G4,SRJN,GRD,BPN,LLW
53,L,AKU,G4,SRJN,PNS,PNS,LLW
