,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,SKS_S1,SKS_S2,IP_S1,IP_S2,STATUS_LULUS
0,P,AKU,G4,SMTA,LL,LL,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,LTW
1,P,AKU,G4,SRJN,LL,PS,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,LTW
2,L,AKU,G4,SMTA,LL,PNS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
3,P,AKU,G4,SRJN,LL,PNS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LTW
4,L,AKU,G2,SMTA,LL,PS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LTW
5,L,AKU,G4,SRJN,PNS,PNS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_CUM,LLW_1
6,L,AKU,G3,SMTA,LL,PNS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
7,L,AKU,G4,SRJN,GRD,PNS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_SM,LLW_1
8,P,AKU,G4,SRJN,PDG,PNS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
9,P,AKU,G3,SMTA,PDG,PS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LTW
10,L,AKU,G4,SMTA,LL,GRD,SKS1_SB,SKS2_B,IPS1_M,IPS2_SM,LLW_1
11,L,AKU,G2,SMTA,PDG,PDG,SKS1_SB,SKS2_SB,IPS1_M,IPS2_SM,LLW_1
12,L,AKU,G4,SMTA,LL,PNS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_M,LTW
13,L,AKU,G3,SMP,LL,PS,SKS1_SB,SKS2_K,IPS1_KM,IPS2_KM,LLW_2
14,P,AKU,G2,SMTA,PDG,LL,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,LLW_2
15,P,AKU,G3,SMTA,LL,PNS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,LC
16,P,AKU,G4,SMTA,LL,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_KM,LTW
17,L,AKU,G3,SRJN,GRD,LL,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LTW
18,P,AKU,G1,SMP,PDG,BPN,SKS1_SB,SKS2_B,IPS1_KM,IPS2_M,LTW
19,P,AKU,G4,SMTA,LL,GRD,SKS1_SB,SKS2_B,IPS1_SM,IPS2_CUM,LTW
20,P,AKU,G4,SRJN,GRD,PNS,SKS1_SB,SKS2_B,IPS1_SM,IPS2_SM,LTW
21,P,AKU,G2,SMTA,LL,PDG,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
22,P,AKU,G4,SMTA,LL,PNS,SKS1_SB,SKS2_C,IPS1_KM,IPS2_KM,LLW_2
23,P,AKU,G3,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LTW
24,L,AKU,G4,SMTA,PS,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LLW_1
25,P,AKU,G4,SMTA,PNS,PNS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,LC
26,P,AKU,G3,SMP,PDG,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LTW
27,P,AKU,G5,SMTA,LL,PS,SKS1_SB,SKS2_SB,IPS1_M,IPS2_KM,LLW_2
28,P,AKU,G2,SMTA,LL,PDG,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
29,L,AKU,G3,SRJN,PSN,PNS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_KM,LLW_2
30,L,AKU,G4,SRJN,LL,PNS,SKS1_SB,SKS2_B,IPS1_SM,IPS2_M,LLW_1
31,P,AKU,G3,SMTA,PNS,LL,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_CUM,LTW
32,P,AKU,G4,SRJN,GRD,LL,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LTW
33,L,AKU,G4,SRJN,LL,PS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
34,L,AKU,G2,SMTA,LL,PSN,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_M,LLW_1
35,L,AKU,G4,SRJN,GRD,GRD,SKS1_SB,SKS2_B,IPS1_SM,IPS2_SM,LLW_1
36,L,AKU,G3,SMP,LL,PSN,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_M,LLW_2
37,L,AKU,G3,SMP,PDG,PDG,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,LTW
38,P,AKU,G6,SMTA,LL,PNS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
39,P,AKU,G4,SRJN,GRD,PNS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
40,P,AKU,G4,SMTA,LL,PS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
41,P,AKU,G3,SRJN,PNS,GRD,SKS1_SB,SKS2_SB,IPS1_M,IPS2_SM,LTW
42,P,AKU,G4,SRJN,GRD,PNS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
43,P,AKU,G3,SMTA,LL,PS,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,LLW_2
44,P,AKU,G2,SD,PDG,PDG,SKS1_SB,SKS2_B,IPS1_SM,IPS2_CUM,LTW
45,L,AKU,G3,SMTA,LL,PSN,SKS1_SB,SKS2_B,IPS1_SM,IPS2_KM,LLW_2
46,P,AKU,G3,SMTA,LL,PDG,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
47,P,AKU,G4,SRJN,GRD,PNS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LTW
48,L,AKU,G4,SRJN,GRD,BPN,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LLW_2
49,L,AKU,G4,SRJN,PNS,PNS,SKS1_SB,SKS2_C,IPS1_KM,IPS2_KM,LLW_2
50,L,AKU,G7,SMTA,LL,PS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
51,P,AKU,G4,SRJN,GRD,GRD,SKS1_SB,SKS2_B,IPS1_KM,IPS2_M,LLW_1
52,L,AKU,G4,SMTA,PNS,PS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
53,P,AKU,G3,SRJN,PSN,PNS,SKS1_SB,SKS2_SB,IPS1_M,IPS2_M,LLW_1
54,L,AKU,G4,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LTW
55,P,AKU,G4,SRJN,PNS,GRD,SKS1_SB,SKS2_B,IPS1_SM,IPS2_M,LLW_1
56,L,AKU,G2,SRJN,PS,PDG,SKS1_SB,SKS2_B,IPS1_M,IPS2_KM,LLW_1
57,L,AKU,G5,SRJN,PNS,PNS,SKS1_SB,SKS2_B,IPS1_M,IPS2_KM,LLW_1
58,P,AKU,G4,SRJN,PNS,PNS,SKS1_SB,SKS2_B,IPS1_CUM,IPS2_SM,LTW
59,P,AKU,G4,SMTA,PS,LL,SKS1_SB,SKS2_B,IPS1_SM,IPS2_KM,LLW_1
60,L,AKU,G7,SMTA,PDG,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_KM,LLW_2
