,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,IPK_TERAKHIR
383,P,FISIKA,G3,SMTA,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
1737,P,BIO,G4,SD,PDG,PS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
834,P,MTK,G3,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,IPK_SM
295,L,FISIKA,G2,SMTA,PDG,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1970,P,BIO,G2,SMTA,LL,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
1182,L,MTK,G3,SMTA,PSN,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_SB,IPK_SM
2237,L,IF,G4,SMTA,PNS,PSN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
2324,L,IF,G4,SRJN,PNS,PSN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
1208,P,MTK,G2,SMTA,BPN,BPN,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
1532,P,BIO,G2,SD,PDG,BPN,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_SM
1026,P,MTK,G3,SMTA,PNS,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1958,P,BIO,G3,SMTA,LL,PS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
2159,P,IF,G3,SMTA,LL,PS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1194,P,MTK,G2,SD,BPN,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
829,P,MTK,G2,SMTA,PS,PS,IPS1_KM,IPS2_KM,SKS1_C,SKS2_C,IPK_SM
2184,L,IF,G4,SMTA,PDG,PNS,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
2061,P,IF,G4,SMP,LL,PDG,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1492,P,BIO,G2,SD,LL,BPN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
1859,L,BIO,G1,SD,LL,BPN,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
869,P,MTK,G2,SMP,PDG,LL,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_C,IPK_SM
901,P,MTK,G1,SMTA,LL,LL,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
960,L,MTK,G1,SD,BPN,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
