,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,IPK_TERAKHIR
1523,P,BIO,G3,SRJN,PNS,LL,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
2212,L,IF,G5,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,IPK_CUM
175,P,FISIKA,G3,SRJN,GRD,GRD,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
1679,P,BIO,G4,SRJN,PNS,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1039,P,MTK,G2,SMP,BPN,BPN,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1005,P,MTK,G5,SMTA,PDG,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
440,P,FISIKA,G4,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
1219,P,MTK,G4,SMTA,LL,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
1527,L,BIO,G1,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_C,SKS2_SB,IPK_KM
921,P,MTK,G2,SMTA,LL,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
315,P,FISIKA,G2,SD,LL,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
1831,P,BIO,G7,SRJN,GRD,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_M
1214,P,MTK,G3,SD,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
1649,P,BIO,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_CUM
1190,L,MTK,G4,SRJN,GRD,LL,IPS1_SM,IPS2_M,SKS1_B,SKS2_SB,IPK_SM
1951,P,BIO,G3,SD,BPN,BPN,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
158,P,FISIKA,G2,SMTA,LL,BPN,IPS1_KM,IPS2_SM,SKS1_SB,SKS2_B,IPK_SM
2372,P,IF,G3,SRJN,GRD,LL,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,IPK_CUM
881,P,MTK,G3,SMTA,LL,PNS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
1155,P,MTK,G3,SMTA,LL,PDG,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
965,L,MTK,G3,SRJN,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
1829,L,BIO,G4,SRJN,BPN,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
1577,P,BIO,G2,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
2360,L,IF,G5,SMTA,PS,ABRI,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,IPK_CUM
2055,L,IF,G2,SMTA,LL,BPN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,IPK_CUM
1182,L,MTK,G3,SMTA,PSN,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_SB,IPK_SM
1090,P,MTK,G1,SMP,BPN,BPN,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,IPK_CUM
2221,P,IF,G1,SD,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,IPK_CUM
327,P,FISIKA,G3,SD,LL,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
882,P,MTK,G2,SD,PS,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
172,P,FISIKA,G1,LL,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
1706,P,BIO,G2,SMP,LL,BPN,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
