@relation data_uji_mipa_lulus
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute SKS_S1 real
@attribute SKS_S2 real
@attribute IP_S1{IPS1_CUM,IPS1_KM,IPS1_M,IPS1_SM}
@attribute IP_S2{IPS2_CUM,IPS2_KM,IPS2_M,IPS2_SM}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"L","FISIKA","G3","SRJN","GRD","PDG",20.0,20.0,"IPS1_KM","IPS2_KM","LLW_1"
"L","MTK","G2","SRJN","PSN","LL",21.0,22.0,"IPS1_SM","IPS2_SM","LLW_1"
"P","FISIKA","G3","SMTA","LL","LL",22.0,22.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","IF","G5","SMTA","PDG","PDG",19.0,20.0,"IPS1_SM","IPS2_SM","LLW_1"
"P","MTK","G2","SMTA","LL","PNS",18.0,18.0,"IPS1_M","IPS2_KM","LLW_1"
"L","MTK","G3","LL","PDG","PDG",21.0,19.0,"IPS1_KM","IPS2_M","LLW_1"
"L","FISIKA","G2","SD","PDG","PDG",19.0,19.0,"IPS1_M","IPS2_KM","LLW_1"
"P","BIO","G4","SRJN","GRD","GRD",21.0,21.0,"IPS1_M","IPS2_KM","LLW_1"
"P","BIO","G2","SMTA","PDG","BPN",21.0,21.0,"IPS1_SM","IPS2_SM","LLW_1"
"P","MTK","G2","SMTA","LL","BPN",21.0,18.0,"IPS1_SM","IPS2_SM","LLW_1"
"P","IF","G3","SMTA","LL","PS",19.0,20.0,"IPS1_M","IPS2_KM","LLW_1"
"P","BIO","G3","SMTA","PDG","PNS",21.0,21.0,"IPS1_KM","IPS2_M","LLW_1"
"P","FISIKA","G2","SMP","LL","PDG",20.0,20.0,"IPS1_KM","IPS2_KM","LLW_1"
"L","MTK","G3","SRJN","LL","PDG",21.0,18.0,"IPS1_KM","IPS2_M","LLW_1"
"L","FISIKA","G1","LL","BPN","BPN",18.0,19.0,"IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G3","SMTA","LL","LL",20.0,20.0,"IPS1_M","IPS2_KM","LLW_1"
"P","MTK","G2","SMTA","LL","PSN",21.0,18.0,"IPS1_M","IPS2_SM","LLW_1"
"P","BIO","G3","SMTA","PDG","PNS",21.0,21.0,"IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G2","SMTA","PDG","PDG",20.0,19.0,"IPS1_SM","IPS2_SM","LLW_1"
"P","MTK","G2","LL","BPN","BPN",21.0,18.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G2","SMTA","LL","PDG",20.0,19.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","MTK","G3","SD","BPN","GRD",21.0,18.0,"IPS1_M","IPS2_KM","LLW_1"
"P","MTK","G3","SMTA","LL","LL",21.0,18.0,"IPS1_M","IPS2_KM","LLW_1"
"L","FISIKA","G4","SRJN","GRD","PNS",18.0,19.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","BIO","G3","SRJN","GRD","PNS",21.0,21.0,"IPS1_KM","IPS2_M","LLW_1"
"P","MTK","G4","SMTA","PS","PS",21.0,19.0,"IPS1_KM","IPS2_KM","LLW_1"
"L","BIO","G4","SRJN","PSN","PNS",21.0,21.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","BIO","G6","SMTA","LL","PS",21.0,19.0,"IPS1_KM","IPS2_M","LLW_1"
"P","FISIKA","G4","SMP","LL","PDG",20.0,21.0,"IPS1_KM","IPS2_M","LLW_1"
"P","FISIKA","G2","SMTA","LL","BPN",19.0,22.0,"IPS1_M","IPS2_SM","LLW_1"
"P","BIO","G4","SRJN","LL","LL",22.0,21.0,"IPS1_SM","IPS2_SM","LLW_1"
"P","BIO","G3","SRJN","GRD","GRD",21.0,21.0,"IPS1_KM","IPS2_KM","LLW_1"
"L","IF","G5","SRJN","GRD","PNS",20.0,20.0,"IPS1_KM","IPS2_M","LLW_1"
"P","BIO","G1","SD","LL","PDG",21.0,21.0,"IPS1_KM","IPS2_M","LLW_1"
"P","MTK","G3","LL","PS","BPN",21.0,18.0,"IPS1_M","IPS2_SM","LLW_1"
