,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
469,L,FISIKA,G3,SMTA,PDG,PSN,IPS1_KM,IPS2_M,SKS1_B,SKS2_C,LLW
245,L,FISIKA,G3,SRJN,PDG,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
888,P,MTK,G3,SMTA,PS,GRD,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,LLW
1612,P,BIO,G1,SD,LL,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
311,L,FISIKA,G2,SMP,PDG,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1961,P,BIO,G4,SRJN,PS,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,LLW
998,P,MTK,G2,SMP,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1068,P,MTK,G4,SMTA,PDG,PDG,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,LLW
1838,L,BIO,G4,SRJN,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
216,P,FISIKA,G3,SMP,LL,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
369,P,FISIKA,G3,LL,PDG,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
2274,L,IF,G4,SMTA,LL,PSN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
938,P,MTK,G1,SMP,BPN,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
2129,L,IF,G4,SRJN,GRD,PS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
1844,P,BIO,G3,SD,PDG,PDG,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
893,P,MTK,G2,SRJN,GRD,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1733,P,BIO,G2,LL,BPN,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1909,P,BIO,G6,SMTA,LL,PS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
930,P,MTK,G1,SMP,LL,LL,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
983,P,MTK,G3,SMTA,LL,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
201,L,FISIKA,G1,SMTA,LL,BPN,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
432,P,FISIKA,G4,SMP,PDG,ABRI,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
1590,L,BIO,G2,SMTA,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
313,P,FISIKA,G2,LL,LL,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
862,P,MTK,G3,SMTA,PNS,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
454,P,FISIKA,G3,LL,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1985,P,BIO,G4,SRJN,LL,ABRI,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,LLW
878,P,MTK,G2,SMTA,LL,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
2053,L,IF,G3,SMTA,LL,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
1124,P,MTK,G3,SMTA,PDG,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
2088,P,IF,G3,SMTA,LL,GRD,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LLW
1571,P,BIO,G4,SMTA,LL,PNS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
464,L,FISIKA,G1,SD,LL,PDG,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LLW
2120,P,IF,G3,SMTA,LL,PS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
1235,P,MTK,G3,SMTA,PDG,LL,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
852,P,MTK,G2,SMP,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
906,P,MTK,G3,SMTA,PDG,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
1106,P,MTK,G3,SMTA,LL,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
1222,P,MTK,G3,SMTA,LL,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1122,P,MTK,G3,SMTA,LL,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
1819,P,BIO,G2,SMTA,PDG,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
2165,P,IF,G1,LL,LL,BPN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
345,P,FISIKA,G4,SD,PDG,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
151,P,FISIKA,G2,SMTA,LL,ABRI,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,LLW
1624,P,BIO,G4,SD,PDG,PNS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
1952,L,BIO,G2,SRJN,LL,PS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_B,LLW
1619,L,BIO,G2,SMTA,BPN,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1579,P,BIO,G2,LL,LL,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
401,L,FISIKA,G3,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
198,P,FISIKA,G3,SRJN,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
1181,L,MTK,G3,SMTA,PDG,PDG,IPS1_M,IPS2_M,SKS1_B,SKS2_SB,LLW
1899,P,BIO,G1,SMTA,BPN,BPN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
2057,L,IF,G4,SD,LL,PS,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,LLW
1186,P,MTK,G4,SRJN,GRD,GRD,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
1945,L,BIO,G3,SMTA,LL,ABRI,IPS1_SM,IPS2_M,SKS1_SB,SKS2_B,LLW
493,P,FISIKA,G3,SMTA,PNS,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
360,P,FISIKA,G2,SD,BPN,PDG,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LLW
1017,L,MTK,G2,SMTA,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
948,P,MTK,G3,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
1226,P,MTK,G4,SMTA,PNS,PSN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
910,P,MTK,G3,SMTA,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2103,P,IF,G6,SRJN,GRD,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
435,L,FISIKA,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LLW
2180,L,IF,G2,SD,PDG,PDG,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,LLW
946,L,MTK,G7,SRJN,LL,PS,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
920,P,MTK,G3,LL,PS,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
276,P,FISIKA,G2,SMTA,PDG,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
226,P,FISIKA,G4,SMTA,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
903,P,MTK,G4,SMTA,LL,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2092,L,IF,G4,SRJN,GRD,PSN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
419,L,FISIKA,G3,SMTA,LL,ABRI,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
1207,P,MTK,G2,LL,PDG,LL,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
1960,P,BIO,G2,SMP,LL,BPN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
183,P,FISIKA,G2,SMP,BPN,BPN,IPS1_M,IPS2_KM,SKS1_B,SKS2_C,LLW
282,P,FISIKA,G1,SD,LL,BPN,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
2288,L,IF,G4,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,LLW
1212,P,MTK,G2,SMTA,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1188,P,MTK,G3,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1041,L,MTK,G2,SD,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1510,P,BIO,G3,SRJN,GRD,GRD,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
1968,P,BIO,G2,SMTA,PDG,PDG,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
166,L,FISIKA,G3,SMP,PDG,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_SB,LLW
2177,L,IF,G3,SD,PDG,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
2217,L,IF,G4,SRJN,GRD,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
260,P,FISIKA,G2,SRJN,GRD,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
943,P,MTK,G3,SMTA,LL,PNS,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
1153,P,MTK,G3,SMTA,PDG,PDG,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,LLW
