@relation data_uji_mipa_lulus_dem
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"L","FISIKA","G3","SRJN","GRD","PDG","LLW_1"
"L","MTK","G2","SRJN","PSN","LL","LLW_1"
"P","FISIKA","G3","SMTA","LL","LL","LLW_1"
"P","IF","G5","SMTA","PDG","PDG","LLW_1"
"P","MTK","G2","SMTA","LL","PNS","LLW_1"
"L","MTK","G3","LL","PDG","PDG","LLW_1"
"L","FISIKA","G2","SD","PDG","PDG","LLW_1"
"P","BIO","G4","SRJN","GRD","GRD","LLW_1"
"P","BIO","G2","SMTA","PDG","BPN","LLW_1"
"P","MTK","G2","SMTA","LL","BPN","LLW_1"
"P","IF","G3","SMTA","LL","PS","LLW_1"
"P","BIO","G3","SMTA","PDG","PNS","LLW_1"
"P","FISIKA","G2","SMP","LL","PDG","LLW_1"
"L","MTK","G3","SRJN","LL","PDG","LLW_1"
"L","FISIKA","G1","LL","BPN","BPN","LLW_1"
"L","FISIKA","G3","SMTA","LL","LL","LLW_1"
"P","MTK","G2","SMTA","LL","PSN","LLW_1"
"P","BIO","G3","SMTA","PDG","PNS","LLW_1"
"L","FISIKA","G2","SMTA","PDG","PDG","LLW_1"
"P","MTK","G2","LL","BPN","BPN","LLW_1"
"P","FISIKA","G2","SMTA","LL","PDG","LLW_1"
"P","MTK","G3","SD","BPN","GRD","LLW_1"
"P","MTK","G3","SMTA","LL","LL","LLW_1"
"L","FISIKA","G4","SRJN","GRD","PNS","LLW_1"
"P","BIO","G3","SRJN","GRD","PNS","LLW_1"
"P","MTK","G4","SMTA","PS","PS","LLW_1"
"L","BIO","G4","SRJN","PSN","PNS","LLW_1"
"P","BIO","G6","SMTA","LL","PS","LLW_1"
"P","FISIKA","G4","SMP","LL","PDG","LLW_1"
"P","FISIKA","G2","SMTA","LL","BPN","LLW_1"
"P","BIO","G4","SRJN","LL","LL","LLW_1"
"P","BIO","G3","SRJN","GRD","GRD","LLW_1"
"L","IF","G5","SRJN","GRD","PNS","LLW_1"
"P","BIO","G1","SD","LL","PDG","LLW_1"
