,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,STATUS_LULUS
469,L,FISIKA,G3,SMTA,PDG,PSN,LLW
245,L,FISIKA,G3,SRJN,PDG,PSN,LLW
888,P,MTK,G3,SMTA,PS,GRD,LLW
1612,P,BIO,G1,SD,LL,BPN,LLW
311,L,FISIKA,G2,SMP,PDG,PS,LLW
1961,P,BIO,G4,SRJN,PS,PNS,LLW
998,P,MTK,G2,SMP,PDG,PDG,LLW
1068,P,MTK,G4,SMTA,PDG,PDG,LLW
1838,L,BIO,G4,SRJN,LL,PNS,LLW
216,P,FISIKA,G3,SMP,LL,LL,LLW
369,P,FISIKA,G3,LL,PDG,PDG,LLW
2274,L,IF,G4,SMTA,LL,PSN,LLW
938,P,MTK,G1,SMP,BPN,BPN,LLW
2129,L,IF,G4,SRJN,GRD,PS,LLW
1844,P,BIO,G3,SD,PDG,PDG,LLW
893,P,MTK,G2,SRJN,GRD,PS,LLW
1733,P,BIO,G2,LL,BPN,LL,LLW
1909,P,BIO,G6,SMTA,LL,PS,LLW
930,P,MTK,G1,SMP,LL,LL,LLW
983,P,MTK,G3,SMTA,LL,PSN,LLW
201,L,FISIKA,G1,SMTA,LL,BPN,LLW
432,P,FISIKA,G4,SMP,PDG,ABRI,LLW
1590,L,BIO,G2,SMTA,PDG,PDG,LLW
313,P,FISIKA,G2,LL,LL,BPN,LLW
862,P,MTK,G3,SMTA,PNS,GRD,LLW
454,P,FISIKA,G3,LL,GRD,PNS,LLW
1985,P,BIO,G4,SRJN,LL,ABRI,LLW
878,P,MTK,G2,SMTA,LL,PNS,LLW
2053,L,IF,G3,SMTA,LL,GRD,LLW
1124,P,MTK,G3,SMTA,PDG,PDG,LLW
2088,P,IF,G3,SMTA,LL,GRD,LLW
1571,P,BIO,G4,SMTA,LL,PNS,LLW
464,L,FISIKA,G1,SD,LL,PDG,LLW
2120,P,IF,G3,SMTA,LL,PS,LLW
1235,P,MTK,G3,SMTA,PDG,LL,LLW
852,P,MTK,G2,SMP,LL,PDG,LLW
906,P,MTK,G3,SMTA,PDG,PNS,LLW
1106,P,MTK,G3,SMTA,LL,GRD,LLW
1222,P,MTK,G3,SMTA,LL,LL,LLW
1122,P,MTK,G3,SMTA,LL,PNS,LLW
1819,P,BIO,G2,SMTA,PDG,BPN,LLW
2165,P,IF,G1,LL,LL,BPN,LLW
345,P,FISIKA,G4,SD,PDG,GRD,LLW
151,P,FISIKA,G2,SMTA,LL,ABRI,LLW
1624,P,BIO,G4,SD,PDG,PNS,LLW
1952,L,BIO,G2,SRJN,LL,PS,LLW
1619,L,BIO,G2,SMTA,BPN,PS,LLW
1579,P,BIO,G2,LL,LL,PDG,LLW
401,L,FISIKA,G3,SMTA,LL,PS,LLW
198,P,FISIKA,G3,SRJN,GRD,GRD,LLW
1181,L,MTK,G3,SMTA,PDG,PDG,LLW
1899,P,BIO,G1,SMTA,BPN,BPN,LLW
2057,L,IF,G4,SD,LL,PS,LLW
1186,P,MTK,G4,SRJN,GRD,GRD,LLW
1945,L,BIO,G3,SMTA,LL,ABRI,LLW
493,P,FISIKA,G3,SMTA,PNS,PS,LLW
360,P,FISIKA,G2,SD,BPN,PDG,LLW
1017,L,MTK,G2,SMTA,PDG,PDG,LLW
948,P,MTK,G3,SMTA,LL,PDG,LLW
1226,P,MTK,G4,SMTA,PNS,PSN,LLW
910,P,MTK,G3,SMTA,PDG,PNS,LLW
2103,P,IF,G6,SRJN,GRD,PNS,LLW
435,L,FISIKA,G4,SRJN,GRD,PNS,LLW
2180,L,IF,G2,SD,PDG,PDG,LLW
946,L,MTK,G7,SRJN,LL,PS,LLW
920,P,MTK,G3,LL,PS,BPN,LLW
276,P,FISIKA,G2,SMTA,PDG,LL,LLW
226,P,FISIKA,G4,SMTA,LL,PDG,LLW
903,P,MTK,G4,SMTA,LL,LL,LLW
2092,L,IF,G4,SRJN,GRD,PSN,LLW
419,L,FISIKA,G3,SMTA,LL,ABRI,LLW
1207,P,MTK,G2,LL,PDG,LL,LLW
1960,P,BIO,G2,SMP,LL,BPN,LLW
183,P,FISIKA,G2,SMP,BPN,BPN,LLW
282,P,FISIKA,G1,SD,LL,BPN,LLW
2288,L,IF,G4,SRJN,GRD,GRD,LLW
1212,P,MTK,G2,SMTA,BPN,BPN,LLW
1188,P,MTK,G3,SMTA,LL,PS,LLW
1041,L,MTK,G2,SD,BPN,BPN,LLW
1510,P,BIO,G3,SRJN,GRD,GRD,LLW
1968,P,BIO,G2,SMTA,PDG,PDG,LLW
166,L,FISIKA,G3,SMP,PDG,GRD,LLW
2177,L,IF,G3,SD,PDG,PNS,LLW
2217,L,IF,G4,SRJN,GRD,GRD,LLW
260,P,FISIKA,G2,SRJN,GRD,PDG,LLW
943,P,MTK,G3,SMTA,LL,PNS,LLW
1153,P,MTK,G3,SMTA,PDG,PDG,LLW
1617,P,BIO,G3,SRJN,GRD,LL,LLW
372,L,FISIKA,G5,SRJN,PS,PS,LLW
1684,L,BIO,G3,SRJN,PDG,PNS,LLW
1910,P,BIO,G3,LL,LL,PNS,LLW
1042,L,MTK,G5,LL,PDG,PDG,LLW
980,P,MTK,G3,SMTA,LL,PS,LLW
894,L,MTK,G2,SD,LL,BPN,LLW
2056,L,IF,G4,SD,LL,PNS,LLW
1049,L,MTK,G4,SMTA,GRD,GRD,LLW
1230,P,MTK,G4,SRJN,GRD,GRD,LLW
2209,L,IF,G3,SMTA,PDG,LL,LLW
2189,P,IF,G5,SMTA,PDG,PDG,LLW
1939,L,BIO,G3,SMTA,PS,PNS,LLW
1020,L,MTK,G4,SMTA,LL,PNS,LLW
424,L,FISIKA,G4,SD,LL,PS,LLW
225,L,FISIKA,G4,SRJN,GRD,PNS,LLW
246,P,FISIKA,G3,SD,LL,GRD,LLW
1789,P,BIO,G5,SRJN,GRD,PS,LLW
900,L,MTK,G1,SMTA,PS,PS,LLW
925,P,MTK,G2,SRJN,GRD,GRD,LLW
1057,P,MTK,G5,SRJN,GRD,GRD,LLW
2226,L,IF,G4,SMTA,LL,PS,LLW
199,P,FISIKA,G2,SRJN,GRD,PNS,LLW
2089,L,IF,G4,SMTA,LL,PNS,LLW
2372,P,IF,G3,SRJN,GRD,LL,LLW
333,P,FISIKA,G3,SMTA,LL,GRD,LLW
1038,P,MTK,G4,SRJN,LL,PS,LLW
1220,P,MTK,G3,SMTA,LL,PS,LLW
1768,P,BIO,G3,SRJN,GRD,GRD,LLW
1839,P,BIO,G4,SRJN,GRD,LL,LLW
2054,L,IF,G3,SMTA,GRD,LL,LLW
2152,P,IF,G3,SRJN,GRD,PNS,LLW
1727,P,BIO,G3,LL,BPN,BPN,LLW
911,L,MTK,G3,SRJN,GRD,GRD,LLW
1289,P,MTK,G4,SRJN,PNS,GRD,LLW
1091,L,MTK,G3,SMTA,LL,PDG,LLW
1865,P,BIO,G3,SD,LL,PDG,LLW
2284,P,IF,G2,SMP,LL,PS,LLW
449,L,FISIKA,G2,SMTA,PDG,PDG,LLW
1036,P,MTK,G2,SRJN,GRD,LL,LLW
420,L,FISIKA,G3,SMTA,LL,PS,LLW
958,L,MTK,G2,SMTA,PDG,PDG,LLW
929,L,MTK,G2,SD,LL,PDG,LLW
1639,P,BIO,G3,SD,BPN,PNS,LLW
917,P,MTK,G1,SMTA,PDG,PS,LLW
2000,P,BIO,G3,SMP,PS,PS,LLW
1118,P,MTK,G1,SD,PDG,PS,LLW
1208,P,MTK,G2,SMTA,BPN,BPN,LLW
1575,L,BIO,G3,SMTA,LL,PNS,LLW
510,P,FISIKA,G3,SRJN,GRD,PSN,LLW
896,P,MTK,G2,LL,BPN,PSN,LLW
1132,P,MTK,G5,SMTA,PDG,PDG,LLW
423,P,FISIKA,G3,SRJN,GRD,PSN,LLW
1537,L,BIO,G1,LL,BPN,BPN,LLW
828,L,MTK,G3,SD,LL,GRD,LLW
317,L,FISIKA,G3,SMP,LL,PNS,LLW
2195,L,IF,G1,SD,BPN,BPN,LLW
473,P,FISIKA,G3,SMTA,LL,PS,LLW
1012,L,MTK,G4,SMTA,PDG,GRD,LLW
2247,P,IF,G4,SRJN,GRD,GRD,LLW
1830,P,BIO,G2,SMTA,GRD,BPN,LLW
2199,L,IF,G4,SRJN,PDG,GRD,LLW
2055,L,IF,G2,SMTA,LL,BPN,LLW
346,P,FISIKA,G4,SMTA,LL,PNS,LLW
406,P,FISIKA,G3,SMTA,LL,PDG,LLW
397,P,FISIKA,G4,SMTA,PDG,GRD,LLW
2062,P,IF,G3,SRJN,PNS,LL,LLW
