@relation data_uji_mipa_lulus_random
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute SKS_S1{SKS1_B,SKS1_C,SKS1_K,SKS1_SB}
@attribute SKS_S2{SKS2_B,SKS2_C,SKS2_K,SKS2_SB}
@attribute IP_S1{IPS1_CUM,IPS1_KM,IPS1_M,IPS1_SM}
@attribute IP_S2{IPS2_CUM,IPS2_KM,IPS2_M,IPS2_SM}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"L","FISIKA","G4","SRJN","GRD","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_SM","LLW_1"
"P","FISIKA","G5","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LTW"
"L","MTK","G3","SD","LL","GRD","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","LLW_2"
"P","IF","G3","SMTA","PNS","PSN","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","LLW_1"
"P","MTK","G3","SMTA","PS","GRD","SKS1_B","SKS2_C","IPS1_M","IPS2_SM","LLW_2"
"L","FISIKA","G1","LL","BPN","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","LTW"
"P","IF","G4","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_M","IPS2_CUM","LLW_1"
"P","IF","G4","SMTA","LL","GRD","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","LLW_1"
"L","IF","G4","SMTA","PDG","GRD","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","LLW_1"
"P","FISIKA","G3","SMTA","LL","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"L","MTK","G2","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"P","FISIKA","G4","SRJN","GRD","GRD","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","BIO","G3","SMTA","LL","PDG","SKS1_SB","SKS2_B","IPS1_SM","IPS2_SM","LLW_1"
"P","MTK","G3","SMTA","LL","PSN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"L","FISIKA","G3","SRJN","GRD","PSN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","BIO","G3","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_SM","IPS2_CUM","LC"
"P","BIO","G2","SMTA","PDG","PDG","SKS1_SB","SKS2_B","IPS1_SM","IPS2_SM","LLW_1"
"L","BIO","G3","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_SM","LLW_1"
"L","MTK","G4","SMTA","GRD","GRD","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","LLW_2"
"P","BIO","G1","SD","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"P","IF","G4","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_CUM","IPS2_CUM","LLW_1"
"P","BIO","G4","SMTA","LL","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"L","FISIKA","G3","SRJN","GRD","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","MTK","G4","SMTA","BPN","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
