,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
249,L,FISIKA,G2,SD,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1953,P,BIO,G3,SRJN,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
388,P,FISIKA,G3,SMP,PNS,BPN,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LTW
359,P,FISIKA,G2,LL,BPN,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
1102,L,MTK,G3,SMP,BPN,PS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
394,P,FISIKA,G3,SD,LL,PDG,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
1096,P,MTK,G3,SD,LL,PDG,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LLW
1904,L,BIO,G1,SD,PDG,BPN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
1756,P,BIO,G4,SRJN,GRD,GRD,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
853,L,MTK,G2,LL,LL,PSN,IPS1_SM,IPS2_SM,SKS1_C,SKS2_C,LTW
1314,P,MTK,G4,SMTA,LL,PS,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LTW
1209,P,MTK,G4,SMTA,LL,PNS,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LLW
1051,P,MTK,G3,SMTA,LL,ABRI,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
1666,P,BIO,G2,LL,PDG,BPN,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LC
398,L,FISIKA,G5,SRJN,GRD,PNS,IPS1_M,IPS2_CUM,SKS1_B,SKS2_SB,LTW
958,L,MTK,G2,SMTA,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1967,P,BIO,G4,SMTA,LL,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,LTW
2226,L,IF,G4,SMTA,LL,PS,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
1707,P,BIO,G4,SD,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
2147,P,IF,G4,SRJN,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
338,L,FISIKA,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
