,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,kelas
972,P,AKU,G4,SD,BPN,BPN,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
5696,L,HUK,G3,SMTA,PNS,PNS,IPS1_KM,IPS2_KM,IPK_SM-LLW
856,P,AKU,G3,LL,PDG,PDG,IPS1_SM,IPS2_SM,IPK_SM-LTW
867,L,AKU,G4,SRJN,GRD,PS,IPS1_SM,IPS2_KM,IPK_SM-LLW
5892,L,HUK,G7,SMTA,PDG,LL,IPS1_KM,IPS2_KM,IPK_M-LLW
1097,P,AKU,G6,LL,PNS,LL,IPS1_SM,IPS2_SM,IPK_CUM-LTW
6268,P,HUK,G4,SMTA,PDG,PDG,IPS1_M,IPS2_M,IPK_M-LLW
5518,P,HUK,G4,SRJN,LL,PNS,IPS1_M,IPS2_SM,IPK_SM-LTW
3171,P,KOM,G3,SRJN,LL,PS,IPS1_M,IPS2_M,IPK_SM-LLW
6303,L,HUK,G5,SRJN,GRD,PS,IPS1_SM,IPS2_M,IPK_SM-LTW
3039,P,KOM,G4,SRJN,LL,PSN,IPS1_KM,IPS2_KM,IPK_SM-LLW
3368,P,KOM,G4,SRJN,GRD,PNS,IPS1_CUM,IPS2_SM,IPK_KM-LLW
6270,L,HUK,G4,SMTA,PNS,ABRI,IPS1_CUM,IPS2_SM,IPK_CUM-LLW
2135,P,EKO,G3,SMTA,PDG,PDG,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
5129,L,HUK,G3,SRJN,PNS,PNS,IPS1_KM,IPS2_M,IPK_SM-LLW
1095,P,AKU,G2,SD,BPN,BPN,IPS1_CUM,IPS2_CUM,IPK_SM-LTW
5434,L,HUK,G4,SRJN,LL,PSN,IPS1_SM,IPS2_SM,IPK_SM-LTW
839,P,AKU,G3,SMTA,LL,PDG,IPS1_M,IPS2_SM,IPK_SM-LLW
1871,L,EKO,G2,SMTA,LL,PSN,IPS1_SM,IPS2_SM,IPK_SM-LLW
3149,L,KOM,G4,SD,PDG,PNS,IPS1_M,IPS2_SM,IPK_SM-LLW
6095,P,HUK,G3,SMTA,LL,PDG,IPS1_SM,IPS2_SM,IPK_CUM-LTW
881,P,AKU,G5,SRJN,GRD,PSN,IPS1_CUM,IPS2_SM,IPK_SM-LLW
3130,P,KOM,G1,SMTA,BPN,BPN,IPS1_CUM,IPS2_SM,IPK_CUM-LLW
3457,P,KOM,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,IPK_SM-LC
