@relation data_uji_mipa_sosial_ipk
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{ABRI,BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{ABRI,BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IP_S1 real
@attribute IP_S2 real
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"L","AKU","G2","LL","PDG","BPN",2.92,2.76,"IPK_SM"
"P","HUK","G4","SMTA","LL","PS",2.5,2.15,"IPK_SM"
"P","EKO","G2","SD","PDG","PDG",3.17,3.0,"IPK_SM"
"L","EKO","G4","SMTA","LL","LL",3.21,3.38,"IPK_SM"
"P","KOM","G5","SMTA","PS","PNS",3.27,3.32,"IPK_SM"
"L","HUK","G3","SRJN","GRD","PDG",2.2,2.44,"IPK_SM"
"P","AKU","G4","SMTA","LL","LL",3.75,3.08,"IPK_SM"
"P","KOM","G1","SMP","PDG","LL",3.45,2.92,"IPK_SM"
"L","AKU","G4","SRJN","LL","LL",2.77,3.0,"IPK_SM"
"L","AKU","G7","SRJN","PDG","LL",3.29,3.3,"IPK_SM"
"L","AKU","G4","SRJN","GRD","GRD",3.19,3.78,"IPK_SM"
"L","KOM","G4","SRJN","GRD","LL",3.0,2.92,"IPK_SM"
"P","EKO","G7","SRJN","LL","PS",3.5,3.46,"IPK_SM"
"L","AKU","G3","SRJN","PSN","PNS",3.25,2.75,"IPK_SM"
"L","HUK","G2","SMP","LL","PSN",2.3,3.0,"IPK_SM"
"L","EKO","G4","SMTA","PDG","PNS",2.67,2.86,"IPK_SM"
"P","AKU","G4","SRJN","PNS","PNS",3.54,3.24,"IPK_SM"
"P","HUK","G5","SRJN","PNS","PNS",2.4,3.15,"IPK_SM"
"P","HUK","G3","SRJN","PSN","PSN",3.2,3.18,"IPK_SM"
"P","AKU","G3","SMTA","LL","PDG",3.48,3.52,"IPK_SM"
"P","KOM","G4","SMTA","LL","ABRI",3.41,3.27,"IPK_SM"
"P","HUK","G4","SRJN","LL","PS",2.7,2.95,"IPK_SM"
"P","HUK","G3","SMTA","PNS","PNS",2.1,2.95,"IPK_SM"
"L","HUK","G3","SMTA","LL","PS",3.1,2.18,"IPK_SM"
"P","HUK","G4","SMTA","LL","PSN",1.7,2.81,"IPK_SM"
"P","KOM","G4","SRJN","LL","PS",2.91,3.25,"IPK_SM"
"P","HUK","G3","SMTA","LL","PDG",2.82,2.3,"IPK_SM"
"L","AKU","G3","SRJN","LL","PSN",2.62,2.62,"IPK_SM"
"L","KOM","G4","SMTA","PDG","PDG",3.09,3.59,"IPK_SM"
"L","HUK","G6","SRJN","PDG","PS",2.7,2.95,"IPK_SM"
"L","HUK","G4","SRJN","LL","PNS",2.9,1.0,"IPK_SM"
"L","EKO","G3","SMTA","LL","PDG",3.33,3.46,"IPK_SM"
"P","HUK","G5","SMTA","LL","LL",3.7,3.41,"IPK_SM"
"L","EKO","G4","SMTA","LL","PNS",2.96,3.14,"IPK_SM"
"P","EKO","G3","SMTA","LL","PS",3.54,3.21,"IPK_SM"
"P","HUK","G2","SMTA","LL","PSN",1.8,2.25,"IPK_SM"
"P","AKU","G4","SRJN","GRD","GRD",3.42,3.08,"IPK_SM"
"L","HUK","G3","SMTA","PNS","GRD",2.75,2.35,"IPK_SM"
"L","HUK","G4","SRJN","PDG","GRD",2.6,2.6,"IPK_SM"
"L","HUK","G4","SRJN","GRD","GRD",2.7,3.15,"IPK_SM"
"P","EKO","G5","SRJN","GRD","PNS",3.17,3.33,"IPK_SM"
