@relation data_uji_mipa_sosial_lulus
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{ABRI,BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{ABRI,BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IP_S1 real
@attribute IP_S2 real
@attribute STATUS_LULUS{LC,LLW,LTW}
@data
"L","EKO","G4","SRJN","GRD","GRD",3.5,3.21,"LLW"
"L","HUK","G4","SRJN","GRD","PSN",2.9,3.1,"LLW"
"L","HUK","G4","SMTA","LL","ABRI",2.3,1.7,"LLW"
"P","KOM","G3","SMTA","PS","PDG",3.0,3.09,"LLW"
"P","KOM","G3","SMTA","PNS","ABRI",3.59,3.36,"LLW"
"L","KOM","G2","SRJN","LL","PS",3.05,2.86,"LLW"
"P","AKU","G2","SMP","LL","LL",3.05,3.39,"LLW"
"L","HUK","G3","SMTA","LL","PNS",2.0,2.06,"LLW"
"P","HUK","G4","SMTA","LL","PNS",2.4,2.6,"LLW"
"P","KOM","G4","SRJN","GRD","ABRI",3.77,3.04,"LLW"
"P","AKU","G3","SRJN","PSN","PNS",3.0,2.92,"LLW"
"L","HUK","G4","SMP","LL","PSN",2.5,3.25,"LLW"
"L","EKO","G3","SRJN","GRD","BPN",2.92,2.67,"LLW"
"L","HUK","G2","SMTA","LL","PSN",2.6,2.35,"LLW"
"L","EKO","G5","SRJN","GRD","ABRI",2.08,2.57,"LLW"
"L","AKU","G4","SRJN","LL","PS",3.59,3.48,"LLW"
"L","AKU","G2","SRJN","LL","LL",3.33,3.65,"LLW"
"P","HUK","G4","SMP","PDG","PS",3.1,3.7,"LLW"
"P","KOM","G1","LL","BPN","BPN",2.43,3.29,"LLW"
"L","HUK","G4","SRJN","PS","PNS",1.7,2.25,"LLW"
"L","AKU","G7","SRJN","PNS","LL",2.62,1.95,"LLW"
"P","HUK","G3","SD","LL","PSN",3.8,2.83,"LLW"
"L","AKU","G4","SRJN","GRD","PNS",3.76,2.83,"LLW"
"P","EKO","G4","SMTA","PDG","PDG",3.0,3.21,"LLW"
"L","KOM","G5","SRJN","GRD","PDG",2.23,2.5,"LLW"
"P","HUK","G3","SMTA","PDG","PS",2.6,2.55,"LLW"
"L","AKU","G2","SMTA","LL","PSN",3.45,3.45,"LLW"
"L","HUK","G3","SRJN","GRD","PNS",2.3,2.35,"LLW"
"L","HUK","G4","SRJN","GRD","GRD",2.1,1.3,"LLW"
"L","HUK","G3","SD","BPN","BPN",2.5,1.7,"LLW"
"L","AKU","G4","SRJN","PS","LL",2.96,3.43,"LLW"
"L","HUK","G3","SRJN","GRD","GRD",3.6,3.8,"LLW"
"L","EKO","G3","SMTA","PDG","PDG",3.04,2.88,"LLW"
"L","HUK","G3","SRJN","GRD","PNS",2.6,2.9,"LLW"
"P","EKO","G3","SMP","PDG","PDG",2.54,2.76,"LLW"
"P","AKU","G4","SMTA","LL","PDG",3.58,3.22,"LLW"
"P","KOM","G2","SD","LL","LL",3.09,3.41,"LLW"
"L","EKO","G6","SRJN","GRD","PNS",3.08,3.33,"LLW"
"P","HUK","G2","SMTA","PNS","PDG",2.0,2.9,"LLW"
"L","HUK","G7","SMTA","PDG","PDG",2.7,2.6,"LLW"
"P","KOM","G2","SMTA","PDG","PDG",3.32,3.12,"LLW"
"L","HUK","G6","SRJN","GRD","PS",2.5,2.4,"LLW"
"L","HUK","G7","SRJN","GRD","GRD",2.6,2.2,"LLW"
"L","HUK","G4","SMTA","PDG","PDG",2.5,2.6,"LLW"
"L","HUK","G3","SMTA","PDG","PDG",2.1,2.45,"LLW"
"P","KOM","G4","SMP","PDG","PDG",2.4,2.86,"LLW"
"P","KOM","G4","SMP","LL","PDG",3.41,3.41,"LLW"
"P","KOM","G3","SRJN","GRD","PNS",3.18,3.04,"LLW"
"L","HUK","G2","SMTA","LL","GRD",2.3,2.17,"LLW"
"P","KOM","G7","SRJN","PNS","PNS",3.09,3.05,"LLW"
"P","HUK","G1","SMTA","LL","PDG",3.1,3.23,"LLW"
"P","HUK","G3","SRJN","PS","PDG",2.2,2.4,"LLW"
"P","KOM","G4","SMP","LL","PS",3.27,3.45,"LLW"
"L","EKO","G1","SD","LL","BPN",3.54,3.42,"LLW"
"L","HUK","G3","SRJN","GRD","GRD",2.62,1.55,"LLW"
"L","EKO","G3","SD","LL","PDG",2.62,2.25,"LLW"
"P","KOM","G2","SMP","PDG","PDG",3.09,3.41,"LLW"
"P","KOM","G4","SRJN","LL","PNS",3.09,3.64,"LLW"
"L","HUK","G3","SRJN","GRD","GRD",2.3,2.28,"LLW"
"P","KOM","G2","SMP","LL","PDG",3.27,2.88,"LLW"
"P","KOM","G3","SMTA","PNS","PSN",3.09,3.09,"LLW"
"L","HUK","G3","SRJN","GRD","PSN",2.38,2.25,"LLW"
"P","HUK","G3","SMTA","LL","GRD",2.7,3.0,"LLW"
"P","KOM","G3","SMTA","LL","LL",3.59,2.83,"LLW"
"P","KOM","G6","SMTA","LL","PS",3.32,3.45,"LLW"
"P","HUK","G4","SRJN","PNS","PS",1.9,1.88,"LLW"
"L","AKU","G3","SMP","PDG","PS",2.96,2.33,"LLW"
"L","KOM","G2","SMTA","LL","PDG",3.0,3.74,"LLW"
"L","HUK","G3","SRJN","LL","PNS",2.7,2.9,"LLW"
"P","KOM","G4","SRJN","GRD","PNS",3.36,3.45,"LLW"
"P","HUK","G5","SMTA","PS","PS",2.4,2.3,"LLW"
"L","HUK","G4","SRJN","PDG","GRD",2.4,1.4,"LLW"
"P","KOM","G3","SRJN","PS","PS",3.09,3.36,"LLW"
"P","AKU","G6","SMTA","PNS","PNS",2.83,2.81,"LLW"
"L","HUK","G2","SMTA","PS","LL",2.6,2.95,"LLW"
"L","KOM","G3","SMTA","LL","LL",3.05,3.09,"LLW"
"L","KOM","G3","SMP","PDG","PDG",3.18,3.32,"LLW"
"L","EKO","G2","SRJN","LL","PDG",3.54,3.75,"LLW"
"P","HUK","G3","SMP","PDG","PDG",2.2,2.94,"LLW"
"L","AKU","G4","SRJN","LL","PNS",3.73,3.61,"LLW"
"L","AKU","G2","SMTA","LL","PDG",3.62,3.83,"LLW"
"L","AKU","G4","SRJN","LL","PNS",3.25,2.95,"LLW"
"P","KOM","G5","SMTA","PDG","PDG",2.64,2.75,"LLW"
"L","KOM","G3","SMTA","PDG","PDG",2.59,3.35,"LLW"
"P","HUK","G7","SRJN","PDG","PDG",2.8,2.75,"LLW"
"L","EKO","G4","SRJN","PDG","PDG",2.83,1.86,"LLW"
"L","HUK","G3","SMP","PDG","PDG",3.3,3.23,"LLW"
"L","HUK","G4","SMTA","LL","PNS",3.1,3.05,"LLW"
"L","EKO","G4","SRJN","GRD","PNS",2.5,2.86,"LLW"
"P","HUK","G3","SRJN","GRD","GRD",3.3,3.35,"LLW"
"L","AKU","G1","SRJN","GRD","PS",3.33,3.43,"LLW"
"L","HUK","G4","SRJN","PNS","GRD",2.3,2.45,"LLW"
"L","HUK","G6","SMTA","PDG","LL",2.3,1.33,"LLW"
"L","HUK","G7","SRJN","PDG","PNS",2.2,1.8,"LLW"
"P","HUK","G3","SMTA","LL","GRD",3.0,2.45,"LLW"
"P","KOM","G4","SMP","LL","PNS",3.0,3.41,"LLW"
"P","KOM","G3","SMP","LL","BPN",2.95,3.2,"LLW"
"P","KOM","G4","SRJN","GRD","GRD",3.09,3.0,"LLW"
"L","HUK","G3","SRJN","PNS","PS",3.0,2.96,"LLW"
"L","EKO","G4","SRJN","PNS","PDG",2.25,1.61,"LLW"
"L","HUK","G6","SRJN","PNS","PDG",2.4,2.45,"LLW"
"L","AKU","G5","SRJN","PS","LL",3.38,3.39,"LLW"
"L","AKU","G4","SMTA","LL","PNS",2.42,2.5,"LLW"
"L","HUK","G2","SMTA","BPN","BPN",2.6,2.55,"LLW"
"P","EKO","G4","SMTA","LL","PNS",3.17,3.14,"LLW"
"P","KOM","G2","SRJN","LL","PSN",3.64,3.29,"LLW"
"L","HUK","G4","SRJN","PS","PNS",2.6,1.9,"LLW"
"L","KOM","G5","SRJN","PSN","PS",2.82,2.84,"LLW"
"L","KOM","G4","SMTA","PNS","PNS",3.14,3.0,"LLW"
"L","AKU","G3","SMTA","PS","PS",2.67,2.52,"LLW"
"P","KOM","G4","SRJN","PNS","LL",2.32,2.6,"LLW"
"P","HUK","G1","SMTA","LL","PSN",3.0,2.73,"LLW"
"L","HUK","G2","SRJN","LL","GRD",3.2,3.09,"LLW"
"L","AKU","G3","LL","PDG","PDG",3.21,2.92,"LLW"
"L","HUK","G2","SMP","LL","PS",2.1,2.1,"LLW"
"P","AKU","G4","SRJN","GRD","LL",3.54,3.62,"LLW"
"P","HUK","G4","SMP","PDG","PDG",3.1,2.5,"LLW"
"L","KOM","G3","SRJN","LL","LL",3.18,3.23,"LLW"
"L","HUK","G3","SRJN","PS","PS",2.6,2.7,"LLW"
"P","KOM","G4","SRJN","GRD","PDG",2.95,3.26,"LLW"
"P","KOM","G7","SRJN","PNS","PNS",3.36,3.45,"LLW"
"L","HUK","G4","SMTA","PNS","PNS",2.5,2.7,"LLW"
"L","KOM","G2","SRJN","GRD","GRD",3.14,3.41,"LLW"
"P","KOM","G4","SRJN","PNS","GRD",2.95,3.4,"LLW"
"L","KOM","G3","SMP","LL","PDG",3.27,3.09,"LLW"
"P","EKO","G4","SRJN","LL","GRD",3.46,3.58,"LLW"
"P","EKO","G3","SRJN","GRD","GRD",3.21,3.08,"LLW"
"L","EKO","G3","SMTA","LL","PSN",3.25,2.75,"LLW"
"P","HUK","G7","SRJN","LL","PS",3.8,3.64,"LLW"
"L","EKO","G4","SMTA","LL","GRD",3.17,2.88,"LLW"
"L","AKU","G2","SMTA","LL","PSN",3.62,3.78,"LLW"
"P","AKU","G4","SMTA","LL","PNS",2.12,2.17,"LLW"
"P","HUK","G1","SMTA","LL","LL",3.1,3.05,"LLW"
"P","KOM","G4","SMTA","LL","ABRI",2.86,3.14,"LLW"
"L","AKU","G4","SRJN","PNS","PNS",3.29,3.52,"LLW"
"L","HUK","G5","SMTA","PDG","PSN",2.4,2.78,"LLW"
"L","HUK","G3","SRJN","GRD","GRD",2.1,2.0,"LLW"
"P","HUK","G4","SMTA","PNS","GRD",2.8,2.7,"LLW"
"P","KOM","G4","SRJN","GRD","PSN",3.45,3.55,"LLW"
"P","KOM","G2","SD","BPN","BPN",2.68,3.65,"LLW"
"P","KOM","G3","SRJN","GRD","GRD",3.45,3.14,"LLW"
"P","EKO","G2","SMTA","LL","PNS",3.54,3.21,"LLW"
"L","KOM","G3","SRJN","PS","PSN",2.86,2.7,"LLW"
"L","KOM","G2","SMTA","LL","PS",2.68,3.0,"LLW"
"P","KOM","G3","SMP","GRD","PNS",2.73,2.7,"LLW"
"L","EKO","G4","SRJN","LL","PNS",2.46,2.83,"LLW"
"P","HUK","G3","SRJN","PSN","PDG",1.5,2.31,"LLW"
"P","HUK","G4","SD","PDG","PDG",2.7,1.0,"LLW"
"L","HUK","G7","SMTA","LL","PNS",2.9,2.5,"LLW"
"L","HUK","G4","SRJN","PS","PNS",2.5,0.88,"LLW"
"P","KOM","G6","SRJN","PDG","PS",2.95,3.25,"LLW"
"P","AKU","G3","SMTA","PSN","PS",2.92,3.1,"LLW"
"P","EKO","G3","SMTA","PDG","PDG",3.25,3.08,"LLW"
"L","AKU","G4","SRJN","LL","PSN",3.48,3.13,"LLW"
"L","AKU","G4","SRJN","PSN","GRD",3.12,2.78,"LLW"
"P","KOM","G3","SRJN","LL","GRD",3.36,3.09,"LLW"
"P","HUK","G6","SRJN","PNS","PNS",2.8,2.9,"LLW"
"L","HUK","G3","SMTA","GRD","GRD",2.7,2.3,"LLW"
"P","KOM","G4","SRJN","PS","GRD",3.45,3.59,"LLW"
