,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,STATUS_LULUS
2193,L,EKO,G4,SRJN,GRD,GRD,3.5,3.21,LLW
6368,L,HUK,G4,SRJN,GRD,PSN,2.9,3.1,LLW
6212,L,HUK,G4,SMTA,LL,ABRI,2.3,1.7,LLW
3459,P,KOM,G3,SMTA,PS,PDG,3.0,3.09,LLW
3358,P,KOM,G3,SMTA,PNS,ABRI,3.59,3.36,LLW
3137,L,KOM,G2,SRJN,LL,PS,3.05,2.86,LLW
1161,P,AKU,G2,SMP,LL,LL,3.05,3.39,LLW
5873,L,HUK,G3,SMTA,LL,PNS,2.0,2.06,LLW
5615,P,HUK,G4,SMTA,LL,PNS,2.4,2.6,LLW
3084,P,KOM,G4,SRJN,GRD,ABRI,3.77,3.04,LLW
764,P,AKU,G3,SRJN,PSN,PNS,3.0,2.92,LLW
5139,L,HUK,G4,SMP,LL,PSN,2.5,3.25,LLW
1821,L,EKO,G3,SRJN,GRD,BPN,2.92,2.67,LLW
6038,L,HUK,G2,SMTA,LL,PSN,2.6,2.35,LLW
1924,L,EKO,G5,SRJN,GRD,ABRI,2.08,2.57,LLW
1111,L,AKU,G4,SRJN,LL,PS,3.59,3.48,LLW
989,L,AKU,G2,SRJN,LL,LL,3.33,3.65,LLW
5802,P,HUK,G4,SMP,PDG,PS,3.1,3.7,LLW
3051,P,KOM,G1,LL,BPN,BPN,2.43,3.29,LLW
5606,L,HUK,G4,SRJN,PS,PNS,1.7,2.25,LLW
780,L,AKU,G7,SRJN,PNS,LL,2.62,1.95,LLW
5824,P,HUK,G3,SD,LL,PSN,3.8,2.83,LLW
985,L,AKU,G4,SRJN,GRD,PNS,3.76,2.83,LLW
1960,P,EKO,G4,SMTA,PDG,PDG,3.0,3.21,LLW
3241,L,KOM,G5,SRJN,GRD,PDG,2.23,2.5,LLW
5685,P,HUK,G3,SMTA,PDG,PS,2.6,2.55,LLW
1127,L,AKU,G2,SMTA,LL,PSN,3.45,3.45,LLW
5862,L,HUK,G3,SRJN,GRD,PNS,2.3,2.35,LLW
5490,L,HUK,G4,SRJN,GRD,GRD,2.1,1.3,LLW
5436,L,HUK,G3,SD,BPN,BPN,2.5,1.7,LLW
893,L,AKU,G4,SRJN,PS,LL,2.96,3.43,LLW
5528,L,HUK,G3,SRJN,GRD,GRD,3.6,3.8,LLW
2001,L,EKO,G3,SMTA,PDG,PDG,3.04,2.88,LLW
6216,L,HUK,G3,SRJN,GRD,PNS,2.6,2.9,LLW
1931,P,EKO,G3,SMP,PDG,PDG,2.54,2.76,LLW
870,P,AKU,G4,SMTA,LL,PDG,3.58,3.22,LLW
3304,P,KOM,G2,SD,LL,LL,3.09,3.41,LLW
2178,L,EKO,G6,SRJN,GRD,PNS,3.08,3.33,LLW
5503,P,HUK,G2,SMTA,PNS,PDG,2.0,2.9,LLW
5937,L,HUK,G7,SMTA,PDG,PDG,2.7,2.6,LLW
3131,P,KOM,G2,SMTA,PDG,PDG,3.32,3.12,LLW
5778,L,HUK,G6,SRJN,GRD,PS,2.5,2.4,LLW
6063,L,HUK,G7,SRJN,GRD,GRD,2.6,2.2,LLW
5958,L,HUK,G4,SMTA,PDG,PDG,2.5,2.6,LLW
5777,L,HUK,G3,SMTA,PDG,PDG,2.1,2.45,LLW
3073,P,KOM,G4,SMP,PDG,PDG,2.4,2.86,LLW
3401,P,KOM,G4,SMP,LL,PDG,3.41,3.41,LLW
3091,P,KOM,G3,SRJN,GRD,PNS,3.18,3.04,LLW
5471,L,HUK,G2,SMTA,LL,GRD,2.3,2.17,LLW
3179,P,KOM,G7,SRJN,PNS,PNS,3.09,3.05,LLW
5825,P,HUK,G1,SMTA,LL,PDG,3.1,3.23,LLW
5533,P,HUK,G3,SRJN,PS,PDG,2.2,2.4,LLW
3414,P,KOM,G4,SMP,LL,PS,3.27,3.45,LLW
2107,L,EKO,G1,SD,LL,BPN,3.54,3.42,LLW
5144,L,HUK,G3,SRJN,GRD,GRD,2.62,1.55,LLW
1878,L,EKO,G3,SD,LL,PDG,2.62,2.25,LLW
3200,P,KOM,G2,SMP,PDG,PDG,3.09,3.41,LLW
3302,P,KOM,G4,SRJN,LL,PNS,3.09,3.64,LLW
5910,L,HUK,G3,SRJN,GRD,GRD,2.3,2.28,LLW
3102,P,KOM,G2,SMP,LL,PDG,3.27,2.88,LLW
3443,P,KOM,G3,SMTA,PNS,PSN,3.09,3.09,LLW
5122,L,HUK,G3,SRJN,GRD,PSN,2.38,2.25,LLW
5135,P,HUK,G3,SMTA,LL,GRD,2.7,3.0,LLW
3173,P,KOM,G3,SMTA,LL,LL,3.59,2.83,LLW
3469,P,KOM,G6,SMTA,LL,PS,3.32,3.45,LLW
5804,P,HUK,G4,SRJN,PNS,PS,1.9,1.88,LLW
795,L,AKU,G3,SMP,PDG,PS,2.96,2.33,LLW
3046,L,KOM,G2,SMTA,LL,PDG,3.0,3.74,LLW
6314,L,HUK,G3,SRJN,LL,PNS,2.7,2.9,LLW
3412,P,KOM,G4,SRJN,GRD,PNS,3.36,3.45,LLW
5735,P,HUK,G5,SMTA,PS,PS,2.4,2.3,LLW
5894,L,HUK,G4,SRJN,PDG,GRD,2.4,1.4,LLW
3409,P,KOM,G3,SRJN,PS,PS,3.09,3.36,LLW
852,P,AKU,G6,SMTA,PNS,PNS,2.83,2.81,LLW
5573,L,HUK,G2,SMTA,PS,LL,2.6,2.95,LLW
3134,L,KOM,G3,SMTA,LL,LL,3.05,3.09,LLW
3280,L,KOM,G3,SMP,PDG,PDG,3.18,3.32,LLW
2183,L,EKO,G2,SRJN,LL,PDG,3.54,3.75,LLW
5612,P,HUK,G3,SMP,PDG,PDG,2.2,2.94,LLW
1120,L,AKU,G4,SRJN,LL,PNS,3.73,3.61,LLW
1001,L,AKU,G2,SMTA,LL,PDG,3.62,3.83,LLW
711,L,AKU,G4,SRJN,LL,PNS,3.25,2.95,LLW
3159,P,KOM,G5,SMTA,PDG,PDG,2.64,2.75,LLW
3194,L,KOM,G3,SMTA,PDG,PDG,2.59,3.35,LLW
5711,P,HUK,G7,SRJN,PDG,PDG,2.8,2.75,LLW
2033,L,EKO,G4,SRJN,PDG,PDG,2.83,1.86,LLW
6366,L,HUK,G3,SMP,PDG,PDG,3.3,3.23,LLW
5884,L,HUK,G4,SMTA,LL,PNS,3.1,3.05,LLW
1941,L,EKO,G4,SRJN,GRD,PNS,2.5,2.86,LLW
6170,P,HUK,G3,SRJN,GRD,GRD,3.3,3.35,LLW
988,L,AKU,G1,SRJN,GRD,PS,3.33,3.43,LLW
5917,L,HUK,G4,SRJN,PNS,GRD,2.3,2.45,LLW
5432,L,HUK,G6,SMTA,PDG,LL,2.3,1.33,LLW
6260,L,HUK,G7,SRJN,PDG,PNS,2.2,1.8,LLW
5954,P,HUK,G3,SMTA,LL,GRD,3.0,2.45,LLW
3391,P,KOM,G4,SMP,LL,PNS,3.0,3.41,LLW
3455,P,KOM,G3,SMP,LL,BPN,2.95,3.2,LLW
3420,P,KOM,G4,SRJN,GRD,GRD,3.09,3.0,LLW
6213,L,HUK,G3,SRJN,PNS,PS,3.0,2.96,LLW
1801,L,EKO,G4,SRJN,PNS,PDG,2.25,1.61,LLW
6084,L,HUK,G6,SRJN,PNS,PDG,2.4,2.45,LLW
1058,L,AKU,G5,SRJN,PS,LL,3.38,3.39,LLW
658,L,AKU,G4,SMTA,LL,PNS,2.42,2.5,LLW
6035,L,HUK,G2,SMTA,BPN,BPN,2.6,2.55,LLW
1881,P,EKO,G4,SMTA,LL,PNS,3.17,3.14,LLW
3129,P,KOM,G2,SRJN,LL,PSN,3.64,3.29,LLW
