@relation data_uji_sosial_ipk
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute SKS_S1{SKS1_B,SKS1_C,SKS1_K,SKS1_SB}
@attribute SKS_S2{SKS2_B,SKS2_C,SKS2_K,SKS2_SB}
@attribute IP_S1{IPS1_CUM,IPS1_KM,IPS1_M,IPS1_SM}
@attribute IP_S2{IPS2_CUM,IPS2_KM,IPS2_M,IPS2_SM}
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"P","HUK","G4","SMTA","PDG","PDG","SKS1_B","SKS2_SB","IPS1_KM","IPS2_M","IPK_SM"
"P","KOM","G2","SMP","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"L","HUK","G4","SRJN","GRD","GRD","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_SM"
"P","AKU","G4","SMTA","LL","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","HUK","G2","SRJN","PDG","PS","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"L","HUK","G3","SRJN","PNS","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","IPK_SM"
"P","KOM","G4","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"P","AKU","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_B","IPS1_SM","IPS2_SM","IPK_SM"
"L","KOM","G5","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"L","EKO","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","IPK_SM"
"L","HUK","G7","SRJN","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","HUK","G6","SRJN","PNS","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","HUK","G2","SRJN","PNS","PDG","SKS1_SB","SKS2_K","IPS1_SM","IPS2_KM","IPK_SM"
"L","EKO","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","IPK_SM"
"P","AKU","G3","SMTA","LL","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","IPK_SM"
"P","EKO","G2","SMP","PDG","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"P","AKU","G4","SMTA","PNS","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","IPK_SM"
"P","HUK","G6","SRJN","LL","PNS","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_SM"
"P","HUK","G3","SMTA","LL","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_M","IPK_SM"
"L","HUK","G4","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","IPK_SM"
"L","EKO","G3","SRJN","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"L","AKU","G2","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"L","HUK","G4","SRJN","PNS","PNS","SKS1_B","SKS2_C","IPS1_M","IPS2_KM","IPK_SM"
"L","EKO","G2","SMTA","PDG","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_SM","IPK_SM"
"L","HUK","G2","LL","PDG","PDG","SKS1_B","SKS2_SB","IPS1_M","IPS2_M","IPK_SM"
"L","HUK","G3","SMTA","LL","PNS","SKS1_K","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"L","HUK","G3","SRJN","LL","GRD","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","IPK_SM"
"P","KOM","G2","SD","PDG","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"P","KOM","G2","SD","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"P","EKO","G3","SRJN","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","IPK_SM"
"L","KOM","G3","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","IPK_SM"
"L","HUK","G3","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","EKO","G3","SMTA","LL","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_KM","IPK_SM"
"L","HUK","G2","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_SM","IPK_SM"
"P","HUK","G4","SRJN","LL","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","AKU","G2","SMP","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","IPK_SM"
"P","HUK","G4","SRJN","PSN","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_SM"
"L","HUK","G4","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_SM"
"P","EKO","G3","SD","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"P","EKO","G5","SMTA","PS","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","HUK","G3","SMP","LL","PSN","SKS1_K","SKS2_B","IPS1_KM","IPS2_M","IPK_SM"
"L","HUK","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_M","IPS2_M","IPK_SM"
"L","HUK","G3","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","KOM","G5","SMP","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"P","KOM","G3","SRJN","PNS","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"P","AKU","G3","SRJN","PNS","GRD","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","IPK_SM"
"P","EKO","G4","SRJN","GRD","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_SM","IPK_SM"
