@relation data_uji_sosial_ipk_dem
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"P","HUK","G4","SMTA","PDG","PDG","IPK_SM"
"P","KOM","G2","SMP","LL","PDG","IPK_SM"
"L","HUK","G4","SRJN","GRD","GRD","IPK_SM"
"P","AKU","G4","SMTA","LL","PNS","IPK_SM"
"P","HUK","G2","SRJN","PDG","PS","IPK_SM"
"L","HUK","G3","SRJN","PNS","BPN","IPK_SM"
"P","KOM","G4","SMTA","PDG","PDG","IPK_SM"
"P","AKU","G4","SRJN","GRD","PNS","IPK_SM"
"L","KOM","G5","SMTA","LL","PDG","IPK_SM"
"L","EKO","G4","SRJN","GRD","GRD","IPK_SM"
"L","HUK","G7","SRJN","LL","PS","IPK_SM"
"P","HUK","G6","SRJN","PNS","PNS","IPK_SM"
"P","HUK","G2","SRJN","PNS","PDG","IPK_SM"
"L","EKO","G3","SRJN","GRD","GRD","IPK_SM"
"P","AKU","G3","SMTA","LL","PS","IPK_SM"
"P","EKO","G2","SMP","PDG","BPN","IPK_SM"
"P","AKU","G4","SMTA","PNS","PS","IPK_SM"
"P","HUK","G6","SRJN","LL","PNS","IPK_SM"
"P","HUK","G3","SMTA","LL","PNS","IPK_SM"
"L","HUK","G4","SRJN","GRD","GRD","IPK_SM"
"L","EKO","G3","SRJN","LL","LL","IPK_SM"
"L","AKU","G2","SMTA","LL","PSN","IPK_SM"
"L","HUK","G4","SRJN","PNS","PNS","IPK_SM"
"L","EKO","G2","SMTA","PDG","PDG","IPK_SM"
"L","HUK","G2","LL","PDG","PDG","IPK_SM"
"L","HUK","G3","SMTA","LL","PNS","IPK_SM"
"L","HUK","G3","SRJN","LL","GRD","IPK_SM"
"P","KOM","G2","SD","PDG","BPN","IPK_SM"
"P","KOM","G2","SD","LL","LL","IPK_SM"
"P","EKO","G3","SRJN","LL","PNS","IPK_SM"
"L","KOM","G3","SMTA","LL","PNS","IPK_SM"
"L","HUK","G3","SRJN","GRD","GRD","IPK_SM"
"P","EKO","G3","SMTA","LL","GRD","IPK_SM"
"L","HUK","G2","SMTA","LL","PS","IPK_SM"
"P","HUK","G4","SRJN","LL","PNS","IPK_SM"
"P","AKU","G2","SMP","BPN","BPN","IPK_SM"
"P","HUK","G4","SRJN","PSN","PNS","IPK_SM"
"L","HUK","G4","SMTA","LL","PDG","IPK_SM"
"P","EKO","G3","SD","PDG","PDG","IPK_SM"
"P","EKO","G5","SMTA","PS","PS","IPK_SM"
"P","HUK","G3","SMP","LL","PSN","IPK_SM"
"L","HUK","G3","SRJN","GRD","GRD","IPK_SM"
"L","HUK","G3","SRJN","GRD","GRD","IPK_SM"
"P","KOM","G5","SMP","LL","PDG","IPK_SM"
"P","KOM","G3","SRJN","PNS","BPN","IPK_SM"
"P","AKU","G3","SRJN","PNS","GRD","IPK_SM"
"P","EKO","G4","SRJN","GRD","PDG","IPK_SM"
"P","HUK","G3","SRJN","PS","PS","IPK_SM"
"P","HUK","G3","SMP","LL","PS","IPK_SM"
"P","KOM","G5","SRJN","GRD","GRD","IPK_SM"
"L","HUK","G3","SMTA","LL","PNS","IPK_SM"
"P","EKO","G4","SRJN","GRD","PSN","IPK_SM"
"L","HUK","G6","SRJN","LL","PNS","IPK_SM"
"P","HUK","G3","SMTA","PNS","PS","IPK_SM"
"P","HUK","G3","SRJN","LL","GRD","IPK_SM"
"P","AKU","G5","SMTA","PNS","GRD","IPK_SM"
"P","AKU","G5","SRJN","PNS","PNS","IPK_SM"
"L","KOM","G3","SMTA","PS","PDG","IPK_SM"
"P","HUK","G7","SRJN","LL","PNS","IPK_SM"
"L","HUK","G3","SMTA","PNS","PSN","IPK_SM"
"L","HUK","G5","SRJN","LL","PNS","IPK_SM"
"P","EKO","G4","SRJN","PS","PS","IPK_SM"
"L","HUK","G7","SMTA","LL","PS","IPK_SM"
"P","HUK","G4","SMTA","PDG","PNS","IPK_SM"
"L","AKU","G4","SMTA","PSN","PSN","IPK_SM"
"P","AKU","G4","SMTA","LL","PNS","IPK_SM"
"L","HUK","G4","SRJN","LL","LL","IPK_SM"
"P","EKO","G2","SD","LL","BPN","IPK_SM"
"L","AKU","G3","SMTA","LL","PSN","IPK_SM"
"P","HUK","G4","SMTA","LL","PS","IPK_SM"
"L","HUK","G3","SMTA","PDG","GRD","IPK_SM"
"L","AKU","G3","SMTA","LL","PNS","IPK_SM"
"P","HUK","G3","SRJN","PS","PDG","IPK_SM"
"P","HUK","G5","SRJN","PNS","PNS","IPK_SM"
"P","HUK","G4","SMTA","PNS","PSN","IPK_SM"
"P","EKO","G2","SMP","LL","PS","IPK_SM"
"L","AKU","G3","SD","LL","LL","IPK_SM"
"L","AKU","G5","LL","LL","PS","IPK_SM"
"P","HUK","G4","SRJN","GRD","GRD","IPK_SM"
"L","HUK","G3","SRJN","PDG","PNS","IPK_SM"
"P","KOM","G4","SRJN","PNS","PS","IPK_SM"
"P","AKU","G5","SRJN","PDG","PS","IPK_SM"
"P","HUK","G6","SRJN","GRD","PS","IPK_SM"
"L","EKO","G3","SRJN","GRD","GRD","IPK_SM"
"L","AKU","G2","SMTA","LL","PS","IPK_SM"
"P","KOM","G3","SMTA","PS","PDG","IPK_SM"
"P","AKU","G3","SMTA","PDG","GRD","IPK_SM"
"P","KOM","G1","SMP","PDG","LL","IPK_SM"
"L","EKO","G4","SMTA","LL","PNS","IPK_SM"
"P","KOM","G6","SRJN","PDG","PS","IPK_SM"
"L","HUK","G4","SRJN","GRD","PNS","IPK_SM"
"P","KOM","G6","SMTA","LL","PS","IPK_SM"
"P","KOM","G2","SD","LL","PS","IPK_SM"
"P","KOM","G3","SMP","PDG","PDG","IPK_SM"
"L","HUK","G3","SMTA","PDG","PNS","IPK_SM"
"P","HUK","G4","SRJN","PSN","GRD","IPK_SM"
"L","HUK","G4","SMTA","LL","PNS","IPK_SM"
"L","HUK","G6","SRJN","LL","PNS","IPK_SM"
"L","EKO","G4","SMTA","PNS","GRD","IPK_SM"
"L","HUK","G3","SMTA","LL","PNS","IPK_SM"
"L","HUK","G5","SRJN","GRD","LL","IPK_SM"
