,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
834,P,AKU,G5,SMTA,LL,PS,IPK_SM
929,P,AKU,G2,SMTA,PDG,PDG,IPK_SM
2185,L,EKO,G6,SRJN,GRD,GRD,IPK_SM
6186,P,HUK,G7,SRJN,PDG,PDG,IPK_SM
2067,L,EKO,G3,SRJN,GRD,PS,IPK_SM
1178,P,AKU,G4,SRJN,PSN,PSN,IPK_SM
3456,P,KOM,G4,SRJN,LL,PS,IPK_SM
1996,P,EKO,G2,SD,BPN,BPN,IPK_SM
6149,L,HUK,G4,SMTA,LL,PNS,IPK_SM
5384,L,HUK,G3,SRJN,GRD,GRD,IPK_SM
2141,P,EKO,G3,SMTA,LL,PS,IPK_SM
3244,P,KOM,G1,SD,PDG,GRD,IPK_SM
5717,P,HUK,G1,SMTA,PNS,PNS,IPK_SM
1075,L,AKU,G4,SMTA,LL,GRD,IPK_SM
6319,L,HUK,G3,SRJN,PSN,PSN,IPK_SM
3362,P,KOM,G4,SRJN,LL,GRD,IPK_SM
3251,P,KOM,G3,SRJN,GRD,PDG,IPK_SM
5637,P,HUK,G3,SMTA,PDG,PDG,IPK_SM
1187,P,AKU,G4,SRJN,GRD,PNS,IPK_SM
1859,P,EKO,G3,SMP,LL,PNS,IPK_SM
5533,P,HUK,G3,SRJN,PS,PDG,IPK_SM
5910,L,HUK,G3,SRJN,GRD,GRD,IPK_SM
3108,L,KOM,G2,LL,PDG,PDG,IPK_SM
3213,L,KOM,G2,SMP,LL,PNS,IPK_SM
1127,L,AKU,G2,SMTA,LL,PSN,IPK_SM
5985,P,HUK,G3,SRJN,LL,PNS,IPK_SM
5865,P,HUK,G5,SRJN,PNS,PNS,IPK_SM
1147,L,AKU,G3,SMTA,LL,PDG,IPK_SM
6225,L,HUK,G3,SMTA,PDG,PDG,IPK_SM
5432,L,HUK,G6,SMTA,PDG,LL,IPK_SM
1960,P,EKO,G4,SMTA,PDG,PDG,IPK_SM
3115,P,KOM,G1,SMP,PDG,LL,IPK_SM
1018,L,AKU,G4,SRJN,GRD,PNS,IPK_SM
6064,P,HUK,G5,SRJN,LL,PNS,IPK_SM
911,P,AKU,G3,SMTA,LL,PDG,IPK_SM
1035,L,AKU,G5,SMTA,LL,PNS,IPK_SM
6181,P,HUK,G5,SMTA,PNS,LL,IPK_SM
800,L,AKU,G6,SMTA,PS,PNS,IPK_SM
5669,L,HUK,G3,SRJN,PNS,PSN,IPK_SM
5728,L,HUK,G2,SMTA,LL,PSN,IPK_SM
2008,P,EKO,G3,SRJN,LL,PNS,IPK_SM
5790,P,HUK,G5,SMTA,PNS,PNS,IPK_SM
5461,P,HUK,G3,SMTA,LL,PDG,IPK_SM
5884,L,HUK,G4,SMTA,LL,PNS,IPK_SM
5682,P,HUK,G3,SRJN,GRD,ABRI,IPK_SM
6146,P,HUK,G3,SMTA,PDG,PDG,IPK_SM
6010,P,HUK,G3,SMTA,LL,PNS,IPK_SM
2268,P,EKO,G4,SRJN,GRD,GRD,IPK_SM
2167,P,EKO,G4,SRJN,LL,PS,IPK_SM
5148,P,HUK,G2,SD,PDG,LL,IPK_SM
3335,P,KOM,G4,SRJN,GRD,GRD,IPK_SM
857,P,AKU,G3,SRJN,GRD,GRD,IPK_SM
5659,L,HUK,G4,SMTA,PDG,PNS,IPK_SM
710,L,AKU,G3,SRJN,PSN,PNS,IPK_SM
891,L,AKU,G3,SMTA,LL,PS,IPK_SM
5601,L,HUK,G3,SRJN,GRD,PNS,IPK_SM
2088,L,EKO,G4,SRJN,LL,PDG,IPK_SM
5703,P,HUK,G7,SRJN,PDG,LL,IPK_SM
2234,P,EKO,G4,SRJN,GRD,LL,IPK_SM
932,P,AKU,G4,SMTA,LL,PS,IPK_SM
3442,P,KOM,G5,SRJN,GRD,PDG,IPK_SM
3202,P,KOM,G4,SRJN,PNS,PNS,IPK_SM
882,P,AKU,G3,SMTA,GRD,LL,IPK_SM
2293,P,EKO,G4,SMTA,PDG,PDG,IPK_SM
