,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,IPK_TERAKHIR
3090,P,KOM,G2,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
5492,P,HUK,G3,SMP,PDG,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_CUM
5628,L,HUK,G5,SD,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
3186,P,KOM,G2,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
880,P,AKU,G2,SD,PDG,LL,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
671,P,AKU,G3,SMTA,PDG,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
2092,P,EKO,G5,SRJN,ABRI,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
1055,P,AKU,G3,SMTA,LL,LL,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_SM
6019,L,HUK,G3,SMTA,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
5409,L,HUK,G4,SRJN,LL,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
5987,P,HUK,G4,SMTA,LL,ABRI,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
3278,P,KOM,G4,SMP,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_KM
6060,P,HUK,G5,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,IPK_M
2285,P,EKO,G3,SMTA,LL,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_B,IPK_CUM
5870,L,HUK,G3,SMTA,PNS,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
5573,L,HUK,G2,SMTA,PS,LL,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
2066,L,EKO,G7,SRJN,LL,PS,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
6035,L,HUK,G2,SMTA,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
6314,L,HUK,G3,SRJN,LL,PNS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_M
662,L,AKU,G2,SMTA,LL,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
1043,L,AKU,G3,SMTA,PS,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
5658,P,HUK,G3,SMTA,PDG,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
3148,P,KOM,G4,SRJN,GRD,PS,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_SB,IPK_SM
6335,P,HUK,G4,SRJN,GRD,PSN,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_M
2311,L,EKO,G4,SD,LL,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
2207,L,EKO,G6,SRJN,GRD,PS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,IPK_SM
1935,L,EKO,G3,SMTA,LL,PSN,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_KM
6364,L,HUK,G4,SMTA,PDG,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_SB,IPK_SM
3464,P,KOM,G5,SRJN,PS,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
973,P,AKU,G4,SRJN,PDG,GRD,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
3185,P,KOM,G5,SRJN,GRD,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,IPK_M
1071,P,AKU,G4,SMP,LL,LL,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
5666,L,HUK,G4,SRJN,PS,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
5960,L,HUK,G4,SMTA,LL,PNS,IPS1_SM,IPS2_KM,SKS1_B,SKS2_SB,IPK_SM
3258,P,KOM,G3,SMTA,LL,PSN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
1057,P,AKU,G4,SRJN,PS,PNS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
669,P,AKU,G4,SRJN,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_M
5664,P,HUK,G4,SRJN,GRD,PDG,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
753,P,AKU,G4,SRJN,GRD,GRD,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
2044,P,EKO,G4,SMTA,GRD,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
3383,P,KOM,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_KM
5721,L,HUK,G2,SMTA,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
5799,L,HUK,G4,SRJN,PS,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
6126,P,HUK,G4,SRJN,GRD,PNS,IPS1_M,IPS2_M,SKS1_B,SKS2_SB,IPK_SM
5629,P,HUK,G4,SMP,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
3447,P,KOM,G2,SMTA,LL,LL,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_SM
5902,P,HUK,G4,SRJN,LL,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
998,L,AKU,G3,SMP,LL,GRD,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
2142,L,EKO,G4,SMTA,LL,PNS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
2031,P,EKO,G2,SD,PDG,PDG,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,IPK_SM
2136,P,EKO,G3,SMTA,LL,PSN,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
5354,P,HUK,G4,SMTA,PNS,PNS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
2275,P,EKO,G2,SMP,BPN,BPN,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
5361,L,HUK,G3,SRJN,LL,PDG,IPS1_KM,IPS2_SM,SKS1_B,SKS2_K,IPK_SM
2280,P,EKO,G7,SRJN,LL,PDG,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
994,L,AKU,G2,SD,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
5440,L,HUK,G4,SMTA,LL,PSN,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
3370,P,KOM,G1,SMTA,PDG,LL,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_KM
5682,P,HUK,G3,SRJN,GRD,ABRI,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
6373,L,HUK,G3,SMTA,LL,PNS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
1044,P,AKU,G3,SMP,LL,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
1969,P,EKO,G2,SMTA,PS,PS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
5989,P,HUK,G2,SMTA,PSN,PSN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
5931,P,HUK,G4,SRJN,GRD,GRD,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,IPK_SM
