,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
5692,L,HUK,G4,SRJN,PDG,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
5581,L,HUK,G3,SMTA,PS,PDG,IPS1_M,IPS2_M,SKS1_K,SKS2_B,LLW
867,L,AKU,G4,SRJN,GRD,PS,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_SB,LLW
3409,P,KOM,G3,SRJN,PS,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
1885,L,EKO,G2,SMTA,PS,PS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_C,LLW
5430,L,HUK,G3,SMTA,PDG,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1028,L,AKU,G3,SRJN,LL,PS,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LLW
3129,P,KOM,G2,SRJN,LL,PSN,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
6175,P,HUK,G4,SRJN,LL,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
5724,P,HUK,G3,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_C,SKS2_B,LLW
2096,P,EKO,G7,SMTA,LL,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
983,L,AKU,G3,SMP,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
6041,L,HUK,G4,SRJN,LL,PS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
3376,P,KOM,G4,SMTA,ABRI,ABRI,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
2264,L,EKO,G5,SRJN,PS,PSN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
3073,P,KOM,G4,SMP,PDG,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
1797,L,EKO,G3,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
743,L,AKU,G3,SMTA,LL,PSN,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_B,LLW
5167,P,HUK,G3,SMTA,LL,PDG,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,LLW
5638,L,HUK,G3,SRJN,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
5858,P,HUK,G4,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2272,L,EKO,G2,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
5500,L,HUK,G4,SRJN,GRD,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
3110,P,KOM,G3,SMTA,GRD,PNS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
3470,P,KOM,G4,SMTA,PNS,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
1786,L,EKO,G4,SRJN,GRD,GRD,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
5799,L,HUK,G4,SRJN,PS,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
1007,L,AKU,G2,SMTA,LL,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
3088,P,KOM,G3,SRJN,LL,GRD,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
5882,L,HUK,G3,SMTA,PNS,PSN,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
1956,L,EKO,G4,SRJN,PNS,PNS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,LLW
6131,L,HUK,G5,SMTA,LL,ABRI,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
854,P,AKU,G1,SMTA,LL,PSN,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
6374,L,HUK,G2,SRJN,LL,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
3116,P,KOM,G2,SMTA,LL,PDG,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
3140,P,KOM,G4,SRJN,LL,PS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
964,L,AKU,G4,SMTA,PNS,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
1840,L,EKO,G3,SMP,PDG,BPN,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_B,LLW
5471,L,HUK,G2,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
3309,P,KOM,G2,SMTA,LL,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
3203,L,KOM,G3,SD,LL,PSN,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
6311,P,HUK,G3,SRJN,LL,PSN,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,LLW
3260,P,KOM,G3,SMTA,PS,PS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,LLW
3228,P,KOM,G2,SMTA,LL,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,LLW
5809,L,HUK,G3,SRJN,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
5738,P,HUK,G4,SRJN,PDG,PNS,IPS1_KM,IPS2_SM,SKS1_C,SKS2_B,LLW
3387,P,KOM,G6,SRJN,PNS,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
5877,P,HUK,G4,SMTA,PNS,PS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LLW
3274,P,KOM,G2,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
3182,P,KOM,G5,SRJN,LL,PSN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
5716,P,HUK,G4,SD,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
5514,L,HUK,G2,SMTA,PDG,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
5681,L,HUK,G3,SMTA,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_SB,LLW
658,L,AKU,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
1821,L,EKO,G3,SRJN,GRD,BPN,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,LLW
1847,P,EKO,G2,SD,PDG,BPN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
6105,L,HUK,G3,SMP,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
5640,P,HUK,G7,SRJN,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1769,P,EKO,G4,SMTA,PDG,PNS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
669,P,AKU,G4,SRJN,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
6197,P,HUK,G4,SRJN,PNS,PNS,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LLW
5685,P,HUK,G3,SMTA,PDG,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2011,P,EKO,G2,SMP,PDG,BPN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
5679,L,HUK,G6,SRJN,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_SB,LLW
5831,P,HUK,G5,SMTA,PNS,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
5355,L,HUK,G4,SRJN,PNS,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
3336,L,KOM,G4,SRJN,PNS,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
2087,P,EKO,G3,SMTA,PDG,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
5122,L,HUK,G3,SRJN,GRD,PSN,IPS1_KM,IPS2_KM,SKS1_K,SKS2_B,LLW
6206,P,HUK,G3,SRJN,LL,PS,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
3300,L,KOM,G3,SMTA,PS,PDG,IPS1_KM,IPS2_M,SKS1_SB,SKS2_SB,LLW
5825,P,HUK,G1,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
3136,P,KOM,G3,SMTA,LL,PS,IPS1_CUM,IPS2_KM,SKS1_SB,SKS2_SB,LLW
6053,L,HUK,G3,SRJN,GRD,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
5610,P,HUK,G3,SRJN,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
982,P,AKU,G4,SRJN,GRD,PNS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LLW
3364,L,KOM,G7,SMTA,PDG,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
5377,L,HUK,G3,SRJN,GRD,BPN,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
5830,L,HUK,G3,SRJN,GRD,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
6341,P,HUK,G4,SMTA,PDG,PNS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
2014,L,EKO,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
5715,L,HUK,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
5761,L,HUK,G3,SMTA,LL,PNS,IPS1_SM,IPS2_KM,SKS1_B,SKS2_SB,LLW
5993,P,HUK,G4,SRJN,PNS,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
852,P,AKU,G6,SMTA,PNS,PNS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
916,P,AKU,G2,SMP,BPN,BPN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LLW
3265,L,KOM,G4,SMTA,PDG,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
3296,P,KOM,G3,SMTA,PDG,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
3418,P,KOM,G2,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
6142,L,HUK,G5,SRJN,LL,PS,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
3166,P,KOM,G3,SRJN,LL,PS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
6170,P,HUK,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
5768,L,HUK,G3,SRJN,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
3194,L,KOM,G3,SMTA,PDG,PDG,IPS1_KM,IPS2_SM,SKS1_SB,SKS2_B,LLW
2175,L,EKO,G4,SRJN,LL,GRD,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
6382,P,HUK,G4,SRJN,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2247,P,EKO,G5,SMTA,LL,LL,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
6073,P,HUK,G4,SMTA,LL,ABRI,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
3373,P,KOM,G4,SRJN,GRD,PSN,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
6181,P,HUK,G5,SMTA,PNS,LL,IPS1_KM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
2159,L,EKO,G6,SMTA,LL,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
1163,L,AKU,G5,SRJN,GRD,PNS,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
3366,L,KOM,G7,SMTA,PDG,PDG,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
991,L,AKU,G5,SRJN,PNS,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
3234,P,KOM,G4,SRJN,PNS,PS,IPS1_KM,IPS2_SM,SKS1_SB,SKS2_B,LLW
3146,L,KOM,G4,SRJN,GRD,LL,IPS1_M,IPS2_M,SKS1_SB,SKS2_SB,LLW
3200,P,KOM,G2,SMP,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
2301,L,EKO,G4,SRJN,PS,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
3429,P,KOM,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
