@relation data_uji_sosial_lulus_dem
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"L","HUK","G4","SRJN","GRD","GRD","LTW"
"P","AKU","G6","LL","PNS","LL","LTW"
"P","HUK","G2","SD","BPN","BPN","LTW"
"P","AKU","G4","SMP","PDG","PDG","LTW"
"P","HUK","G3","SMTA","LL","PSN","LTW"
"L","AKU","G4","SRJN","PDG","GRD","LTW"
"L","AKU","G4","SRJN","LL","PSN","LTW"
"P","EKO","G4","SRJN","PNS","PNS","LTW"
"L","KOM","G4","SRJN","LL","LL","LTW"
"P","EKO","G4","SRJN","PS","PS","LTW"
"P","EKO","G3","SMTA","PSN","LL","LTW"
"P","HUK","G6","SRJN","GRD","LL","LTW"
"P","EKO","G1","LL","LL","LL","LTW"
"P","HUK","G3","SMTA","PNS","PS","LTW"
"L","AKU","G1","SMTA","LL","LL","LTW"
"P","EKO","G2","SD","LL","PNS","LTW"
"P","EKO","G3","SMTA","PNS","PS","LTW"
"L","AKU","G3","SRJN","GRD","PNS","LTW"
"L","AKU","G4","SMTA","LL","PNS","LTW"
"P","AKU","G6","SRJN","LL","PNS","LTW"
"L","EKO","G4","SRJN","GRD","PDG","LTW"
"L","AKU","G4","SRJN","GRD","PNS","LTW"
"P","AKU","G4","SRJN","GRD","GRD","LTW"
"L","HUK","G4","SRJN","GRD","GRD","LTW"
"P","HUK","G4","SMP","PDG","PNS","LTW"
"P","EKO","G4","SRJN","LL","PDG","LTW"
"P","AKU","G2","SMTA","LL","PS","LTW"
"P","HUK","G4","SRJN","LL","PDG","LTW"
"P","EKO","G3","SRJN","PS","PS","LTW"
"P","EKO","G7","SMTA","LL","PNS","LTW"
"P","EKO","G2","SMTA","LL","LL","LTW"
"P","AKU","G2","SD","PDG","PDG","LTW"
"P","HUK","G3","SMTA","PDG","PDG","LTW"
"P","HUK","G2","SMTA","BPN","LL","LTW"
