,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,STATUS_LULUS
5692,L,HUK,G4,SRJN,PDG,GRD,LLW
5581,L,HUK,G3,SMTA,PS,PDG,LLW
867,L,AKU,G4,SRJN,GRD,PS,LLW
3409,P,KOM,G3,SRJN,PS,PS,LLW
1885,L,EKO,G2,SMTA,PS,PS,LLW
5430,L,HUK,G3,SMTA,PDG,GRD,LLW
1028,L,AKU,G3,SRJN,LL,PS,LLW
3129,P,KOM,G2,SRJN,LL,PSN,LLW
6175,P,HUK,G4,SRJN,LL,PDG,LLW
5724,P,HUK,G3,SRJN,GRD,PNS,LLW
2096,P,EKO,G7,SMTA,LL,PDG,LLW
983,L,AKU,G3,SMP,PDG,PDG,LLW
6041,L,HUK,G4,SRJN,LL,PS,LLW
3376,P,KOM,G4,SMTA,ABRI,ABRI,LLW
2264,L,EKO,G5,SRJN,PS,PSN,LLW
3073,P,KOM,G4,SMP,PDG,PDG,LLW
1797,L,EKO,G3,SMTA,LL,PS,LLW
743,L,AKU,G3,SMTA,LL,PSN,LLW
5167,P,HUK,G3,SMTA,LL,PDG,LLW
5638,L,HUK,G3,SRJN,GRD,GRD,LLW
5858,P,HUK,G4,SMTA,LL,PS,LLW
2272,L,EKO,G2,SMTA,PDG,PDG,LLW
5500,L,HUK,G4,SRJN,GRD,PS,LLW
3110,P,KOM,G3,SMTA,GRD,PNS,LLW
3470,P,KOM,G4,SMTA,PNS,PNS,LLW
1786,L,EKO,G4,SRJN,GRD,GRD,LLW
5799,L,HUK,G4,SRJN,PS,GRD,LLW
1007,L,AKU,G2,SMTA,LL,BPN,LLW
3088,P,KOM,G3,SRJN,LL,GRD,LLW
5882,L,HUK,G3,SMTA,PNS,PSN,LLW
1956,L,EKO,G4,SRJN,PNS,PNS,LLW
6131,L,HUK,G5,SMTA,LL,ABRI,LLW
854,P,AKU,G1,SMTA,LL,PSN,LLW
6374,L,HUK,G2,SRJN,LL,GRD,LLW
3116,P,KOM,G2,SMTA,LL,PDG,LLW
3140,P,KOM,G4,SRJN,LL,PS,LLW
964,L,AKU,G4,SMTA,PNS,PNS,LLW
1840,L,EKO,G3,SMP,PDG,BPN,LLW
5471,L,HUK,G2,SMTA,LL,GRD,LLW
3309,P,KOM,G2,SMTA,LL,PDG,LLW
3203,L,KOM,G3,SD,LL,PSN,LLW
6311,P,HUK,G3,SRJN,LL,PSN,LLW
3260,P,KOM,G3,SMTA,PS,PS,LLW
3228,P,KOM,G2,SMTA,LL,PDG,LLW
5809,L,HUK,G3,SRJN,LL,PNS,LLW
5738,P,HUK,G4,SRJN,PDG,PNS,LLW
3387,P,KOM,G6,SRJN,PNS,PDG,LLW
5877,P,HUK,G4,SMTA,PNS,PS,LLW
3274,P,KOM,G2,SMTA,PDG,PDG,LLW
3182,P,KOM,G5,SRJN,LL,PSN,LLW
5716,P,HUK,G4,SD,PDG,PDG,LLW
5514,L,HUK,G2,SMTA,PDG,PDG,LLW
5681,L,HUK,G3,SMTA,LL,PDG,LLW
658,L,AKU,G4,SMTA,LL,PNS,LLW
1821,L,EKO,G3,SRJN,GRD,BPN,LLW
1847,P,EKO,G2,SD,PDG,BPN,LLW
6105,L,HUK,G3,SMP,LL,PDG,LLW
5640,P,HUK,G7,SRJN,PDG,PDG,LLW
1769,P,EKO,G4,SMTA,PDG,PNS,LLW
669,P,AKU,G4,SRJN,PDG,PNS,LLW
6197,P,HUK,G4,SRJN,PNS,PNS,LLW
5685,P,HUK,G3,SMTA,PDG,PS,LLW
2011,P,EKO,G2,SMP,PDG,BPN,LLW
5679,L,HUK,G6,SRJN,LL,PNS,LLW
5831,P,HUK,G5,SMTA,PNS,PNS,LLW
5355,L,HUK,G4,SRJN,PNS,GRD,LLW
3336,L,KOM,G4,SRJN,PNS,PNS,LLW
2087,P,EKO,G3,SMTA,PDG,PDG,LLW
5122,L,HUK,G3,SRJN,GRD,PSN,LLW
6206,P,HUK,G3,SRJN,LL,PS,LLW
3300,L,KOM,G3,SMTA,PS,PDG,LLW
5825,P,HUK,G1,SMTA,LL,PDG,LLW
3136,P,KOM,G3,SMTA,LL,PS,LLW
6053,L,HUK,G3,SRJN,GRD,GRD,LLW
5610,P,HUK,G3,SRJN,GRD,GRD,LLW
982,P,AKU,G4,SRJN,GRD,PNS,LLW
3364,L,KOM,G7,SMTA,PDG,LL,LLW
5377,L,HUK,G3,SRJN,GRD,BPN,LLW
5830,L,HUK,G3,SRJN,GRD,PNS,LLW
6341,P,HUK,G4,SMTA,PDG,PNS,LLW
2014,L,EKO,G4,SRJN,GRD,GRD,LLW
5715,L,HUK,G4,SMTA,LL,PNS,LLW
5761,L,HUK,G3,SMTA,LL,PNS,LLW
5993,P,HUK,G4,SRJN,PNS,PNS,LLW
852,P,AKU,G6,SMTA,PNS,PNS,LLW
916,P,AKU,G2,SMP,BPN,BPN,LLW
3265,L,KOM,G4,SMTA,PDG,PDG,LLW
3296,P,KOM,G3,SMTA,PDG,PDG,LLW
3418,P,KOM,G2,SMTA,PDG,PDG,LLW
6142,L,HUK,G5,SRJN,LL,PS,LLW
3166,P,KOM,G3,SRJN,LL,PS,LLW
6170,P,HUK,G3,SRJN,GRD,GRD,LLW
5768,L,HUK,G3,SRJN,GRD,GRD,LLW
3194,L,KOM,G3,SMTA,PDG,PDG,LLW
2175,L,EKO,G4,SRJN,LL,GRD,LLW
6382,P,HUK,G4,SRJN,LL,PNS,LLW
2247,P,EKO,G5,SMTA,LL,LL,LLW
6073,P,HUK,G4,SMTA,LL,ABRI,LLW
