,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
1203,P,AKU,G3,SRJN,GRD,PS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
860,L,AKU,G4,SMTA,PNS,GRD,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
1946,L,EKO,G2,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
1899,P,EKO,G3,SRJN,PNS,GRD,IPS1_CUM,IPS2_M,SKS1_SB,SKS2_SB,LLW
5637,P,HUK,G3,SMTA,PDG,PDG,IPS1_KM,IPS2_SM,SKS1_SB,SKS2_B,LTW
1986,L,EKO,G4,SRJN,LL,PNS,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,LLW
1001,L,AKU,G2,SMTA,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LLW
2076,L,EKO,G1,SMP,LL,PSN,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
741,P,AKU,G3,SMTA,LL,PNS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
1171,P,AKU,G2,SD,PDG,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
5794,P,HUK,G4,SMTA,LL,ABRI,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LTW
2005,P,EKO,G4,SMTA,PDG,GRD,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LTW
3268,P,KOM,G4,SMTA,PDG,GRD,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
5687,L,HUK,G4,SRJN,GRD,PNS,IPS1_M,IPS2_SM,SKS1_B,SKS2_SB,LLW
2138,L,EKO,G4,SRJN,LL,LL,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
5443,L,HUK,G1,SMTA,LL,PSN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
6164,P,HUK,G4,SMTA,LL,PS,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
6323,L,HUK,G4,LL,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1032,P,AKU,G4,SMTA,LL,GRD,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
5623,P,HUK,G6,SRJN,PNS,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2245,P,EKO,G4,SMTA,LL,PS,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
664,L,AKU,G3,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
825,L,AKU,G4,SMP,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
1061,L,AKU,G6,SRJN,LL,PDG,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LLW
1009,L,AKU,G6,SMTA,PDG,PS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LLW
1053,L,AKU,G4,SMTA,PDG,PSN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
805,P,AKU,G3,SMTA,LL,GRD,IPS1_KM,IPS2_CUM,SKS1_SB,SKS2_K,LLW
2107,L,EKO,G1,SD,LL,BPN,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
3202,P,KOM,G4,SRJN,PNS,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
5371,L,HUK,G3,SMTA,LL,PS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
1098,P,AKU,G3,SRJN,LL,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
3309,P,KOM,G2,SMTA,LL,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
5598,L,HUK,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
6080,P,HUK,G4,SMTA,PS,PS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LTW
